"","Approach","Method","Data_source","Association","Corr","RSME","Initial_training_samples","Testing_samples"
"54","Time series reconstruction","Random Forests","p = 5","Scenario 1",0.00983129017126573,1.80723975823503,"60",151
"55","Naive up to 3 lags","Light GBM","p = 5","Scenario 1",0.0262685433318902,1.75955903352804,"30",181
"56","Naive up to 3 lags","Random Forests","p = 5","Scenario 1",0.0255602862840242,1.69626736793779,"30",181
"57","Naive up to 3 lags","Lasso","p = 5","Scenario 1",0.000876977276555624,1.74710595561854,"30",181
"58","Naive up to 3 lags","Light GBM","p = 5","Scenario 1",0.023694278829278,1.82704626508825,"60",151
"59","Naive up to 3 lags","Random Forests","p = 5","Scenario 1",0.0279661822744409,1.75187383506028,"60",151
"60","Naive up to 3 lags","Lasso","p = 5","Scenario 1",0.00353566288989867,1.81197435560461,"60",151
"61","Naive up to 6 lags","Light GBM","p = 5","Scenario 1",0.0600346729872951,1.85057223870939,"30",181
"62","Naive up to 6 lags","Random Forests","p = 5","Scenario 1",0.0728750332621501,1.65726922221407,"30",181
"63","Naive up to 6 lags","Lasso","p = 5","Scenario 1",0.0739608913878748,1.64131392418326,"30",181
"64","Naive up to 6 lags","Light GBM","p = 5","Scenario 1",0.0574528393287742,1.94172577846427,"60",151
"65","Naive up to 6 lags","Random Forests","p = 5","Scenario 1",0.072251832566316,1.72270026951215,"60",151
"66","Naive up to 6 lags","Lasso","p = 5","Scenario 1",0.0541193592921849,1.75308171799902,"60",151
"67","All climate time series","Light GBM","p = 5","Scenario 1",0.000209045939271623,1.97667775203658,"30",181
"68","All climate time series","Random Forests","p = 5","Scenario 1",0.00028626021667011,1.7870211549481,"30",181
"69","All climate time series","Lasso","p = 5","Scenario 1",0.00028052516057357,1.73077086157021,"30",181
"70","All climate time series","Light GBM","p = 5","Scenario 1",0.000654351373752861,2.05052244049369,"60",151
"71","All climate time series","Random Forests","p = 5","Scenario 1",2.8777127561306e-05,1.8507473224372,"60",151
"72","All climate time series","Lasso","p = 5","Scenario 1",0.0038014550529914,1.78993021502829,"60",151
"73","Time series reconstruction","Light GBM","p = 1","Scenario 2",0.0872642355498757,46.6547283495887,"30",181
"74","Time series reconstruction","Lasso","p = 1","Scenario 2",0.160684663649651,42.640036462729,"30",181
"75","Time series reconstruction","Random Forests","p = 1","Scenario 2",0.160122932486433,41.7778645125706,"30",181
"76","Time series reconstruction","Light GBM","p = 1","Scenario 2",0.0778227725595222,50.5388861143138,"60",151
"77","Time series reconstruction","Lasso","p = 1","Scenario 2",0.0982030971491693,47.5508678562957,"60",151
"78","Time series reconstruction","Random Forests","p = 1","Scenario 2",0.155083526671709,44.9795351803889,"60",151
"79","Naive up to 3 lags","Light GBM","p = 1","Scenario 2",0.1214281377761,46.5231670053998,"30",181
"80","Naive up to 3 lags","Random Forests","p = 1","Scenario 2",0.19420734055422,41.1585265553457,"30",181
"81","Naive up to 3 lags","Lasso","p = 1","Scenario 2",0.119379861355922,44.4237968784382,"30",181
"82","Naive up to 3 lags","Light GBM","p = 1","Scenario 2",0.115226039152015,50.3436008563166,"60",151
"83","Naive up to 3 lags","Random Forests","p = 1","Scenario 2",0.194408970799621,44.2046950009912,"60",151
"84","Naive up to 3 lags","Lasso","p = 1","Scenario 2",0.147771113620998,45.6484859262407,"60",151
"85","Naive up to 6 lags","Light GBM","p = 1","Scenario 2",0.170068348644917,43.5556620951949,"30",181
"86","Naive up to 6 lags","Random Forests","p = 1","Scenario 2",0.22652740739605,40.0246831926387,"30",181
"87","Naive up to 6 lags","Lasso","p = 1","Scenario 2",0.13007630748668,43.1184553997052,"30",181
"88","Naive up to 6 lags","Light GBM","p = 1","Scenario 2",0.16177918540987,47.1858960862068,"60",151
"89","Naive up to 6 lags","Random Forests","p = 1","Scenario 2",0.213830678477346,43.4362402993354,"60",151
"90","Naive up to 6 lags","Lasso","p = 1","Scenario 2",0.126312338907524,46.3672146911706,"60",151
"91","All climate time series","Light GBM","p = 1","Scenario 2",0.0526747914856841,48.06051374157,"30",181
"92","All climate time series","Random Forests","p = 1","Scenario 2",0.173819555323307,41.6264424149345,"30",181
"93","All climate time series","Lasso","p = 1","Scenario 2",0.143041136202206,42.5937267656249,"30",181
"94","All climate time series","Light GBM","p = 1","Scenario 2",0.0423769286629407,52.2051610210432,"60",151
"95","All climate time series","Random Forests","p = 1","Scenario 2",0.159056922770755,45.2513913167113,"60",151
"96","All climate time series","Lasso","p = 1","Scenario 2",0.128306094613057,46.2124879736682,"60",151
"97","Time series reconstruction","Light GBM","p = 3","Scenario 2",0.0828457781108408,37.3530697062756,"30",181
"98","Time series reconstruction","Lasso","p = 3","Scenario 2",0.101654697835044,33.706974133301,"30",181
"99","Time series reconstruction","Random Forests","p = 3","Scenario 2",0.129533981362481,32.8607898284482,"30",181
"100","Time series reconstruction","Light GBM","p = 3","Scenario 2",0.0907839963867617,38.4603324852647,"60",151
"101","Time series reconstruction","Lasso","p = 3","Scenario 2",0.12219470240908,34.3234052098291,"60",151
"102","Time series reconstruction","Random Forests","p = 3","Scenario 2",0.164762333481776,33.1780931213855,"60",151
"103","Naive up to 3 lags","Light GBM","p = 3","Scenario 2",0.197722462883422,36.4227219497101,"30",181
"104","Naive up to 3 lags","Random Forests","p = 3","Scenario 2",0.273715828368026,30.0879210842743,"30",181
"105","Naive up to 3 lags","Lasso","p = 3","Scenario 2",0.255193360708828,30.4212032041039,"30",181
"106","Naive up to 3 lags","Light GBM","p = 3","Scenario 2",0.210065203770001,36.4818715618437,"60",151
"107","Naive up to 3 lags","Random Forests","p = 3","Scenario 2",0.280893562453389,30.9551410456328,"60",151
"108","Naive up to 3 lags","Lasso","p = 3","Scenario 2",0.260660283751031,31.3479841264483,"60",151
"109","Naive up to 6 lags","Light GBM","p = 3","Scenario 2",0.160994359368156,36.303316876547,"30",181
"110","Naive up to 6 lags","Random Forests","p = 3","Scenario 2",0.253188731255552,30.7002889541685,"30",181
"111","Naive up to 6 lags","Lasso","p = 3","Scenario 2",0.216916695198252,31.2564463580444,"30",181
"112","Naive up to 6 lags","Light GBM","p = 3","Scenario 2",0.225196832020784,33.8947668870918,"60",151
"113","Naive up to 6 lags","Random Forests","p = 3","Scenario 2",0.273442510694661,31.1875831392681,"60",151
"114","Naive up to 6 lags","Lasso","p = 3","Scenario 2",0.216198170859815,32.3862647456652,"60",151
"115","All climate time series","Light GBM","p = 3","Scenario 2",0.0665007900232065,37.168016945729,"30",181
"116","All climate time series","Random Forests","p = 3","Scenario 2",0.0902774111927363,33.8130968652007,"30",181
"117","All climate time series","Lasso","p = 3","Scenario 2",0.0876727967233002,33.8061169859956,"30",181
"118","All climate time series","Light GBM","p = 3","Scenario 2",0.0623109287407837,38.4535433975743,"60",151
"119","All climate time series","Random Forests","p = 3","Scenario 2",0.0800604697430159,35.2925024427663,"60",151
"120","All climate time series","Lasso","p = 3","Scenario 2",0.127216048976876,33.9797864461021,"60",151
"121","Time series reconstruction","Light GBM","p = 5","Scenario 2",0.162845770883168,75.8034434741365,"30",181
"122","Time series reconstruction","Lasso","p = 5","Scenario 2",0.203603561233587,72.8058631332927,"30",181
"123","Time series reconstruction","Random Forests","p = 5","Scenario 2",0.266845200354968,70.1160274149265,"30",181
"124","Time series reconstruction","Light GBM","p = 5","Scenario 2",0.144097222594659,81.1438938532913,"60",151
"125","Time series reconstruction","Lasso","p = 5","Scenario 2",0.193046084231502,77.4281771938791,"60",151
"126","Time series reconstruction","Random Forests","p = 5","Scenario 2",0.250466074911226,74.9042739060236,"60",151
"127","Naive up to 3 lags","Light GBM","p = 5","Scenario 2",0.104099641039814,83.5496748235053,"30",181
"128","Naive up to 3 lags","Random Forests","p = 5","Scenario 2",0.240946899656947,70.7028102005894,"30",181
"129","Naive up to 3 lags","Lasso","p = 5","Scenario 2",0.19932711481577,73.5461765028839,"30",181
"130","Naive up to 3 lags","Light GBM","p = 5","Scenario 2",0.0853742317609287,90.0727004976713,"60",151
"131","Naive up to 3 lags","Random Forests","p = 5","Scenario 2",0.213610199458265,76.1295971655836,"60",151
"132","Naive up to 3 lags","Lasso","p = 5","Scenario 2",0.170692637759482,79.0949879835869,"60",151
"133","Naive up to 6 lags","Light GBM","p = 5","Scenario 2",0.292020210482737,72.2838163520947,"30",181
"134","Naive up to 6 lags","Random Forests","p = 5","Scenario 2",0.390538013961433,62.7417753165735,"30",181
"135","Naive up to 6 lags","Lasso","p = 5","Scenario 2",0.339132800882767,66.3611307719559,"30",181
"136","Naive up to 6 lags","Light GBM","p = 5","Scenario 2",0.275324358276814,77.6504841300836,"60",151
"137","Naive up to 6 lags","Random Forests","p = 5","Scenario 2",0.375938083178994,67.127677791164,"60",151
"138","Naive up to 6 lags","Lasso","p = 5","Scenario 2",0.35321361605329,69.2839198494372,"60",151
"139","All climate time series","Light GBM","p = 5","Scenario 2",0.0451416895433687,85.2380539498843,"30",181
"140","All climate time series","Random Forests","p = 5","Scenario 2",0.0953683705105457,79.7039160596514,"30",181
"141","All climate time series","Lasso","p = 5","Scenario 2",0.156391823613989,79.5132475274418,"30",181
"142","All climate time series","Light GBM","p = 5","Scenario 2",0.0373519446377623,91.039591827682,"60",151
"143","All climate time series","Random Forests","p = 5","Scenario 2",0.0787199878440915,85.5081810082877,"60",151
"144","All climate time series","Lasso","p = 5","Scenario 2",0.128304915238291,85.1160551883303,"60",151
"145","Time series reconstruction","Light GBM","p = 1","Scenario 3",0.189410274012762,41.451032591158,"30",181
"146","Time series reconstruction","Lasso","p = 1","Scenario 3",0.237122169191967,36.84200450136,"30",181
"147","Time series reconstruction","Random Forests","p = 1","Scenario 3",0.268907548937911,35.8603530092021,"30",181
"148","Time series reconstruction","Light GBM","p = 1","Scenario 3",0.186203313218774,39.3557197417555,"60",151
"149","Time series reconstruction","Lasso","p = 1","Scenario 3",0.210807159059558,33.2146337071237,"60",151
"150","Time series reconstruction","Random Forests","p = 1","Scenario 3",0.273953374785323,32.0647591619007,"60",151
"151","Naive up to 3 lags","Light GBM","p = 1","Scenario 3",0.318287312158307,36.6925209367915,"30",181
"152","Naive up to 3 lags","Random Forests","p = 1","Scenario 3",0.318675101434787,35.1814323448899,"30",181
"153","Naive up to 3 lags","Lasso","p = 1","Scenario 3",0.142677906096464,41.6957105286477,"30",181
"154","Naive up to 3 lags","Light GBM","p = 1","Scenario 3",0.276810331336035,34.4792192113389,"60",151
"155","Naive up to 3 lags","Random Forests","p = 1","Scenario 3",0.301462098184243,32.3437502006413,"60",151
"156","Naive up to 3 lags","Lasso","p = 1","Scenario 3",0.144871334358669,35.6693601372986,"60",151
"157","Naive up to 6 lags","Light GBM","p = 1","Scenario 3",0.24643792987351,39.6804844635864,"30",181
"158","Naive up to 6 lags","Random Forests","p = 1","Scenario 3",0.29294000247129,36.0479303218992,"30",181
"159","Naive up to 6 lags","Lasso","p = 1","Scenario 3",0.157995171493863,40.6055314282274,"30",181
"160","Naive up to 6 lags","Light GBM","p = 1","Scenario 3",0.254868826514572,35.6489902965804,"60",151
"161","Naive up to 6 lags","Random Forests","p = 1","Scenario 3",0.275137661574401,33.1599118974269,"60",151
"162","Naive up to 6 lags","Lasso","p = 1","Scenario 3",0.215768393179069,33.1029408706422,"60",151
"163","All climate time series","Light GBM","p = 1","Scenario 3",0.00319198658470535,49.5963421656341,"30",181
"164","All climate time series","Random Forests","p = 1","Scenario 3",0.03531037329376,42.788119045966,"30",181
"165","All climate time series","Lasso","p = 1","Scenario 3",0.0875089650903261,40.4581241129876,"30",181
"166","All climate time series","Light GBM","p = 1","Scenario 3",0.00437757069143074,47.0032660337257,"60",151
"167","All climate time series","Random Forests","p = 1","Scenario 3",0.013709013790679,40.1195718653739,"60",151
"168","All climate time series","Lasso","p = 1","Scenario 3",0.104378946654749,35.4725869390437,"60",151
"169","Time series reconstruction","Light GBM","p = 3","Scenario 3",0.0753422462986418,76.5575223426267,"30",181
"170","Time series reconstruction","Lasso","p = 3","Scenario 3",0.123181418710329,73.1855428330673,"30",181
"171","Time series reconstruction","Random Forests","p = 3","Scenario 3",0.0699524310847555,74.6643728236602,"30",181
