"","Approach","Method","Data_source","Association","Corr","RSME","Initial_training_samples","Testing_samples"
"1","Time series reconstruction","Light GBM","p = 1","Scenario 1",0.0791677946375186,4.04705241684066,"30",181
"2","Time series reconstruction","Lasso","p = 1","Scenario 1",0.277774033801201,3.22095385131869,"30",181
"3","Time series reconstruction","Random Forests","p = 1","Scenario 1",0.140306316920341,3.44573951323586,"30",181
"4","Time series reconstruction","Light GBM","p = 1","Scenario 1",0.110020746509166,3.67542800796189,"60",151
"5","Time series reconstruction","Lasso","p = 1","Scenario 1",0.338944957991051,2.84636030432535,"60",151
"6","Time series reconstruction","Random Forests","p = 1","Scenario 1",0.215666348937485,3.07444105225599,"60",151
"7","Naive up to 3 lags","Light GBM","p = 1","Scenario 1",0.194997518720934,3.86014925743102,"30",181
"8","Naive up to 3 lags","Random Forests","p = 1","Scenario 1",0.25532729173289,3.22077603493646,"30",181
"9","Naive up to 3 lags","Lasso","p = 1","Scenario 1",0.294907767687008,3.15578721268048,"30",181
"10","Naive up to 3 lags","Light GBM","p = 1","Scenario 1",0.22485323563966,3.57084078576741,"60",151
"11","Naive up to 3 lags","Random Forests","p = 1","Scenario 1",0.288755574257296,2.93925406348194,"60",151
"12","Naive up to 3 lags","Lasso","p = 1","Scenario 1",0.353314304322487,2.79806276710231,"60",151
"13","Naive up to 6 lags","Light GBM","p = 1","Scenario 1",0.0938731185954837,4.1718192672174,"30",181
"14","Naive up to 6 lags","Random Forests","p = 1","Scenario 1",0.210264282623449,3.32919729011611,"30",181
"15","Naive up to 6 lags","Lasso","p = 1","Scenario 1",0.269232121355246,3.21029161292799,"30",181
"16","Naive up to 6 lags","Light GBM","p = 1","Scenario 1",0.130903378167668,3.84166550279248,"60",151
"17","Naive up to 6 lags","Random Forests","p = 1","Scenario 1",0.270487449893162,2.98088390443702,"60",151
"18","Naive up to 6 lags","Lasso","p = 1","Scenario 1",0.342053446823095,2.82267389617213,"60",151
"19","All climate time series","Light GBM","p = 1","Scenario 1",0.000143079513953172,4.53806045632675,"30",181
"20","All climate time series","Random Forests","p = 1","Scenario 1",0.00114680601050257,3.88206544628801,"30",181
"21","All climate time series","Lasso","p = 1","Scenario 1",1.9661283473985e-06,3.76182319281693,"30",181
"22","All climate time series","Light GBM","p = 1","Scenario 1",0.00115667424954392,4.42694115311279,"60",151
"23","All climate time series","Random Forests","p = 1","Scenario 1",0.00163695260564137,3.64379189802328,"60",151
"24","All climate time series","Lasso","p = 1","Scenario 1",0.00326333808397456,3.47879806766514,"60",151
"25","Time series reconstruction","Light GBM","p = 3","Scenario 1",0.0378686058727086,1.87886622752373,"30",181
"26","Time series reconstruction","Lasso","p = 3","Scenario 1",0.101714664278093,1.65735952309157,"30",181
"27","Time series reconstruction","Random Forests","p = 3","Scenario 1",0.0332678218379765,1.73769795481817,"30",181
"28","Time series reconstruction","Light GBM","p = 3","Scenario 1",0.0426549454199178,1.9434872780816,"60",151
"29","Time series reconstruction","Lasso","p = 3","Scenario 1",0.106036920259841,1.71787527598617,"60",151
"30","Time series reconstruction","Random Forests","p = 3","Scenario 1",0.0354051595070323,1.80407820432733,"60",151
"31","Naive up to 3 lags","Light GBM","p = 3","Scenario 1",0.082632134698915,1.8751495479915,"30",181
"32","Naive up to 3 lags","Random Forests","p = 3","Scenario 1",0.123346739811038,1.63369953414582,"30",181
"33","Naive up to 3 lags","Lasso","p = 3","Scenario 1",0.140423555059716,1.61431467752538,"30",181
"34","Naive up to 3 lags","Light GBM","p = 3","Scenario 1",0.0875269920291393,1.95764920719673,"60",151
"35","Naive up to 3 lags","Random Forests","p = 3","Scenario 1",0.142005619656,1.68511620016844,"60",151
"36","Naive up to 3 lags","Lasso","p = 3","Scenario 1",0.187227909422759,1.63376030251121,"60",151
"37","Naive up to 6 lags","Light GBM","p = 3","Scenario 1",0.0309160213760643,1.9996024761288,"30",181
