"","Approach","Method","Data_source","Association","Corr","RSME","Initial_training_samples","Testing_samples"
"1","Time series reconstruction","Light GBM","p = 1","Scenario 1",0.298078242516419,2.41763241485098,"30",181
"2","Time series reconstruction","Lasso","p = 1","Scenario 1",0.398907653371448,2.16710564516938,"30",181
"3","Time series reconstruction","Random Forests","p = 1","Scenario 1",0.303462463369766,2.33223369450148,"30",181
"4","Time series reconstruction","Light GBM","p = 1","Scenario 1",0.345464206426513,2.33113997131698,"60",151
"5","Time series reconstruction","Lasso","p = 1","Scenario 1",0.440456673773974,2.11304063922506,"60",151
"6","Time series reconstruction","Random Forests","p = 1","Scenario 1",0.365482548106675,2.26248914208283,"60",151
"7","Naive up to 3 lags","Light GBM","p = 1","Scenario 1",0.363590656120783,2.33704294307879,"30",181
"8","Naive up to 3 lags","Random Forests","p = 1","Scenario 1",0.47439271506165,2.02874789905607,"30",181
"9","Naive up to 3 lags","Lasso","p = 1","Scenario 1",0.467407436251565,2.03956192988515,"30",181
"10","Naive up to 3 lags","Light GBM","p = 1","Scenario 1",0.381770024429261,2.29794015779239,"60",151
"11","Naive up to 3 lags","Random Forests","p = 1","Scenario 1",0.494042574124257,2.00098925198375,"60",151
"12","Naive up to 3 lags","Lasso","p = 1","Scenario 1",0.490749733348399,2.00347324040683,"60",151
"13","Naive up to 6 lags","Light GBM","p = 1","Scenario 1",0.331039689874333,2.38532637944084,"30",181
"14","Naive up to 6 lags","Random Forests","p = 1","Scenario 1",0.434266702678639,2.10512329100369,"30",181
"15","Naive up to 6 lags","Lasso","p = 1","Scenario 1",0.451532650234201,2.07892425561144,"30",181
"16","Naive up to 6 lags","Light GBM","p = 1","Scenario 1",0.345053258030792,2.35869876556957,"60",151
"17","Naive up to 6 lags","Random Forests","p = 1","Scenario 1",0.449883312347935,2.08496371054755,"60",151
"18","Naive up to 6 lags","Lasso","p = 1","Scenario 1",0.477409519925244,2.03503118466745,"60",151
"19","All climate time series","Light GBM","p = 1","Scenario 1",0.00601704801858411,3.27378948221114,"30",181
"20","All climate time series","Random Forests","p = 1","Scenario 1",0.00477779303427822,2.92922628801054,"30",181
"21","All climate time series","Lasso","p = 1","Scenario 1",0.000257245781450542,2.94227398794635,"30",181
"22","All climate time series","Light GBM","p = 1","Scenario 1",0.00211085057429912,3.25559378201793,"60",151
"23","All climate time series","Random Forests","p = 1","Scenario 1",0.000121066284967492,2.97469131728318,"60",151
"24","All climate time series","Lasso","p = 1","Scenario 1",0.022408391209576,3.00043890672651,"60",151
"25","Time series reconstruction","Light GBM","p = 3","Scenario 1",0.0144604218603175,1.61510827510276,"30",181
"26","Time series reconstruction","Lasso","p = 3","Scenario 1",0.0648306734232996,1.45788208480473,"30",181
"27","Time series reconstruction","Random Forests","p = 3","Scenario 1",0.0301451503825477,1.48786102979426,"30",181
"28","Time series reconstruction","Light GBM","p = 3","Scenario 1",0.015119182470811,1.64651588489681,"60",151
"29","Time series reconstruction","Lasso","p = 3","Scenario 1",0.0300741447695804,1.55661867599395,"60",151
"30","Time series reconstruction","Random Forests","p = 3","Scenario 1",0.0238775853811469,1.54575091624139,"60",151
"31","Naive up to 3 lags","Light GBM","p = 3","Scenario 1",0.205919923347158,1.38243849867154,"30",181
