"","features_complete","feature_name","lags","feature_week","error","abs_error","Data_source","Association","Initial_training_samples"
"1","tmean_lag.4","tmean",4,30,0.562776438602792,0.562776438602792,"p = 1","Scenario 1","30"
"2","tmean_lag.3","tmean",3,30,0.562776438602792,0.562776438602792,"p = 1","Scenario 1","30"
"3","tmean_lag.2","tmean",2,30,0.562776438602792,0.562776438602792,"p = 1","Scenario 1","30"
"4","Wmean_lag.7","Wmean",7,30,0.562776438602792,0.562776438602792,"p = 1","Scenario 1","30"
"5","Wmean_lag.6","Wmean",6,30,0.562776438602792,0.562776438602792,"p = 1","Scenario 1","30"
"6","Wmean_lag.5","Wmean",5,30,0.562776438602792,0.562776438602792,"p = 1","Scenario 1","30"
"7","tmin_lag.4","tmin",4,30,0.562776438602792,0.562776438602792,"p = 1","Scenario 1","30"
"8","tmin_lag.3","tmin",3,30,0.562776438602792,0.562776438602792,"p = 1","Scenario 1","30"
"9","tmin_lag.2","tmin",2,30,0.562776438602792,0.562776438602792,"p = 1","Scenario 1","30"
"10","pmm_lag.6","pmm",6,30,0.562776438602792,0.562776438602792,"p = 1","Scenario 1","30"
"11","pmm_lag.5","pmm",5,30,0.562776438602792,0.562776438602792,"p = 1","Scenario 1","30"
"12","pmm_lag.4","pmm",4,30,0.562776438602792,0.562776438602792,"p = 1","Scenario 1","30"
"13","Ur_lag.11","Ur",11,30,0.562776438602792,0.562776438602792,"p = 1","Scenario 1","30"
"14","Ur_lag.10","Ur",10,30,0.562776438602792,0.562776438602792,"p = 1","Scenario 1","30"
"15","Ur_lag.9","Ur",9,30,0.562776438602792,0.562776438602792,"p = 1","Scenario 1","30"
"16","Wmax_lag.7","Wmax",7,30,0.562776438602792,0.562776438602792,"p = 1","Scenario 1","30"
"17","Wmax_lag.6","Wmax",6,30,0.562776438602792,0.562776438602792,"p = 1","Scenario 1","30"
"18","Wmax_lag.5","Wmax",5,30,0.562776438602792,0.562776438602792,"p = 1","Scenario 1","30"
"19","St5cm_lag.10","St5cm",10,30,0.562776438602792,0.562776438602792,"p = 1","Scenario 1","30"
"20","St5cm_lag.9","St5cm",9,30,0.562776438602792,0.562776438602792,"p = 1","Scenario 1","30"
"21","St5cm_lag.8","St5cm",8,30,0.562776438602792,0.562776438602792,"p = 1","Scenario 1","30"
"22","y_lag.2","y",2,30,0.562776438602792,0.562776438602792,"p = 1","Scenario 1","30"
"23","y_lag.1","y",1,30,0.562776438602792,0.562776438602792,"p = 1","Scenario 1","30"
"24","tmean_lag.4","tmean",4,31,-1.47256474021512,1.47256474021512,"p = 1","Scenario 1","30"
"25","tmean_lag.3","tmean",3,31,-1.47256474021512,1.47256474021512,"p = 1","Scenario 1","30"
"26","tmean_lag.2","tmean",2,31,-1.47256474021512,1.47256474021512,"p = 1","Scenario 1","30"
