"","features_complete","feature_name","lags","feature_week","error","abs_error","Data_source","Association","Initial_training_samples"
"1","Ur_lag.8","Ur",8,30,2.25622058954905,2.25622058954905,"p = 1","Scenario 1","30"
"2","Ur_lag.7","Ur",7,30,2.25622058954905,2.25622058954905,"p = 1","Scenario 1","30"
"3","Ur_lag.6","Ur",6,30,2.25622058954905,2.25622058954905,"p = 1","Scenario 1","30"
"4","St5cm_lag.8","St5cm",8,30,2.25622058954905,2.25622058954905,"p = 1","Scenario 1","30"
"5","St5cm_lag.7","St5cm",7,30,2.25622058954905,2.25622058954905,"p = 1","Scenario 1","30"
"6","St5cm_lag.6","St5cm",6,30,2.25622058954905,2.25622058954905,"p = 1","Scenario 1","30"
"7","y_lag.1","y",1,30,2.25622058954905,2.25622058954905,"p = 1","Scenario 1","30"
"8","Ur_lag.8","Ur",8,31,-2.92867233143964,2.92867233143964,"p = 1","Scenario 1","30"
"9","Ur_lag.7","Ur",7,31,-2.92867233143964,2.92867233143964,"p = 1","Scenario 1","30"
"10","Ur_lag.6","Ur",6,31,-2.92867233143964,2.92867233143964,"p = 1","Scenario 1","30"
"11","pmm_lag.10","pmm",10,31,-2.92867233143964,2.92867233143964,"p = 1","Scenario 1","30"
"12","pmm_lag.9","pmm",9,31,-2.92867233143964,2.92867233143964,"p = 1","Scenario 1","30"
"13","pmm_lag.8","pmm",8,31,-2.92867233143964,2.92867233143964,"p = 1","Scenario 1","30"
"14","St5cm_lag.8","St5cm",8,31,-2.92867233143964,2.92867233143964,"p = 1","Scenario 1","30"
"15","St5cm_lag.7","St5cm",7,31,-2.92867233143964,2.92867233143964,"p = 1","Scenario 1","30"
"16","St5cm_lag.6","St5cm",6,31,-2.92867233143964,2.92867233143964,"p = 1","Scenario 1","30"
"17","y_lag.1","y",1,31,-2.92867233143964,2.92867233143964,"p = 1","Scenario 1","30"
"18","Ur_lag.8","Ur",8,32,-3.46356484702167,3.46356484702167,"p = 1","Scenario 1","30"
"19","Ur_lag.7","Ur",7,32,-3.46356484702167,3.46356484702167,"p = 1","Scenario 1","30"
"20","Ur_lag.6","Ur",6,32,-3.46356484702167,3.46356484702167,"p = 1","Scenario 1","30"
"21","pmm_lag.6","pmm",6,32,-3.46356484702167,3.46356484702167,"p = 1","Scenario 1","30"
"22","pmm_lag.5","pmm",5,32,-3.46356484702167,3.46356484702167,"p = 1","Scenario 1","30"
"23","pmm_lag.4","pmm",4,32,-3.46356484702167,3.46356484702167,"p = 1","Scenario 1","30"
"24","St5cm_lag.8","St5cm",8,32,-3.46356484702167,3.46356484702167,"p = 1","Scenario 1","30"
"25","St5cm_lag.7","St5cm",7,32,-3.46356484702167,3.46356484702167,"p = 1","Scenario 1","30"
"26","St5cm_lag.6","St5cm",6,32,-3.46356484702167,3.46356484702167,"p = 1","Scenario 1","30"
"27","y_lag.1","y",1,32,-3.46356484702167,3.46356484702167,"p = 1","Scenario 1","30"
"28","pmm_lag.10","pmm",10,33,-1.71329744108176,1.71329744108176,"p = 1","Scenario 1","30"
"29","pmm_lag.9","pmm",9,33,-1.71329744108176,1.71329744108176,"p = 1","Scenario 1","30"
"30","pmm_lag.8","pmm",8,33,-1.71329744108176,1.71329744108176,"p = 1","Scenario 1","30"
"31","y_lag.1","y",1,33,-1.71329744108176,1.71329744108176,"p = 1","Scenario 1","30"
"32","Ur_lag.5","Ur",5,34,-0.0453662862031098,0.0453662862031098,"p = 1","Scenario 1","30"
"33","Ur_lag.4","Ur",4,34,-0.0453662862031098,0.0453662862031098,"p = 1","Scenario 1","30"
