"","features_complete","feature_name","lags","feature_week","error","abs_error","Data_source","Association","Initial_training_samples"
"1","Wmean_lag.3","Wmean",3,30,-3.37556087775106,3.37556087775106,"p = 1","Scenario 1","30"
"2","Wmean_lag.2","Wmean",2,30,-3.37556087775106,3.37556087775106,"p = 1","Scenario 1","30"
"3","Wmean_lag.1","Wmean",1,30,-3.37556087775106,3.37556087775106,"p = 1","Scenario 1","30"
"4","Ur_lag.6","Ur",6,30,-3.37556087775106,3.37556087775106,"p = 1","Scenario 1","30"
"5","Ur_lag.5","Ur",5,30,-3.37556087775106,3.37556087775106,"p = 1","Scenario 1","30"
"6","Ur_lag.4","Ur",4,30,-3.37556087775106,3.37556087775106,"p = 1","Scenario 1","30"
"7","Wmax_lag.3","Wmax",3,30,-3.37556087775106,3.37556087775106,"p = 1","Scenario 1","30"
"8","Wmax_lag.2","Wmax",2,30,-3.37556087775106,3.37556087775106,"p = 1","Scenario 1","30"
"9","Wmax_lag.1","Wmax",1,30,-3.37556087775106,3.37556087775106,"p = 1","Scenario 1","30"
"10","Ur_lag.6","Ur",6,31,-1.90541630210355,1.90541630210355,"p = 1","Scenario 1","30"
"11","Ur_lag.5","Ur",5,31,-1.90541630210355,1.90541630210355,"p = 1","Scenario 1","30"
"12","Ur_lag.4","Ur",4,31,-1.90541630210355,1.90541630210355,"p = 1","Scenario 1","30"
"13","Wmean_lag.10","Wmean",10,31,-1.90541630210355,1.90541630210355,"p = 1","Scenario 1","30"
"14","Wmean_lag.9","Wmean",9,31,-1.90541630210355,1.90541630210355,"p = 1","Scenario 1","30"
"15","Wmean_lag.8","Wmean",8,31,-1.90541630210355,1.90541630210355,"p = 1","Scenario 1","30"
"16","Wmean_lag.7","Wmean",7,31,-1.90541630210355,1.90541630210355,"p = 1","Scenario 1","30"
"17","Wmean_lag.6","Wmean",6,31,-1.90541630210355,1.90541630210355,"p = 1","Scenario 1","30"
"18","tmin_lag.8","tmin",8,31,-1.90541630210355,1.90541630210355,"p = 1","Scenario 1","30"
"19","tmin_lag.7","tmin",7,31,-1.90541630210355,1.90541630210355,"p = 1","Scenario 1","30"
"20","tmin_lag.6","tmin",6,31,-1.90541630210355,1.90541630210355,"p = 1","Scenario 1","30"
"21","Wmax_lag.3","Wmax",3,31,-1.90541630210355,1.90541630210355,"p = 1","Scenario 1","30"
"22","Wmax_lag.2","Wmax",2,31,-1.90541630210355,1.90541630210355,"p = 1","Scenario 1","30"
"23","Wmax_lag.1","Wmax",1,31,-1.90541630210355,1.90541630210355,"p = 1","Scenario 1","30"
"24","St5cm_lag.11","St5cm",11,31,-1.90541630210355,1.90541630210355,"p = 1","Scenario 1","30"
"25","St5cm_lag.10","St5cm",10,31,-1.90541630210355,1.90541630210355,"p = 1","Scenario 1","30"
"26","St5cm_lag.9","St5cm",9,31,-1.90541630210355,1.90541630210355,"p = 1","Scenario 1","30"
"27","tmin_lag.8","tmin",8,32,-4.2415293100484,4.2415293100484,"p = 1","Scenario 1","30"
"28","tmin_lag.7","tmin",7,32,-4.2415293100484,4.2415293100484,"p = 1","Scenario 1","30"
"29","tmin_lag.6","tmin",6,32,-4.2415293100484,4.2415293100484,"p = 1","Scenario 1","30"
"30","tmean_lag.8","tmean",8,32,-4.2415293100484,4.2415293100484,"p = 1","Scenario 1","30"
"31","tmean_lag.7","tmean",7,32,-4.2415293100484,4.2415293100484,"p = 1","Scenario 1","30"
"32","tmean_lag.6","tmean",6,32,-4.2415293100484,4.2415293100484,"p = 1","Scenario 1","30"
"33","Ur_lag.6","Ur",6,32,-4.2415293100484,4.2415293100484,"p = 1","Scenario 1","30"
"34","Ur_lag.5","Ur",5,32,-4.2415293100484,4.2415293100484,"p = 1","Scenario 1","30"
"35","Ur_lag.4","Ur",4,32,-4.2415293100484,4.2415293100484,"p = 1","Scenario 1","30"
"36","Wmax_lag.3","Wmax",3,32,-4.2415293100484,4.2415293100484,"p = 1","Scenario 1","30"
"37","Wmax_lag.2","Wmax",2,32,-4.2415293100484,4.2415293100484,"p = 1","Scenario 1","30"
"38","Wmax_lag.1","Wmax",1,32,-4.2415293100484,4.2415293100484,"p = 1","Scenario 1","30"
"39","Wmean_lag.8","Wmean",8,32,-4.2415293100484,4.2415293100484,"p = 1","Scenario 1","30"
"40","Wmean_lag.7","Wmean",7,32,-4.2415293100484,4.2415293100484,"p = 1","Scenario 1","30"
"41","Wmean_lag.6","Wmean",6,32,-4.2415293100484,4.2415293100484,"p = 1","Scenario 1","30"
"42","St5cm_lag.11","St5cm",11,32,-4.2415293100484,4.2415293100484,"p = 1","Scenario 1","30"
"43","St5cm_lag.10","St5cm",10,32,-4.2415293100484,4.2415293100484,"p = 1","Scenario 1","30"
"44","St5cm_lag.9","St5cm",9,32,-4.2415293100484,4.2415293100484,"p = 1","Scenario 1","30"
"45","tmean_lag.8","tmean",8,33,-3.08005771160387,3.08005771160387,"p = 1","Scenario 1","30"
"46","tmean_lag.7","tmean",7,33,-3.08005771160387,3.08005771160387,"p = 1","Scenario 1","30"
"47","tmean_lag.6","tmean",6,33,-3.08005771160387,3.08005771160387,"p = 1","Scenario 1","30"
"48","Wmax_lag.5","Wmax",5,33,-3.08005771160387,3.08005771160387,"p = 1","Scenario 1","30"
"49","Wmax_lag.4","Wmax",4,33,-3.08005771160387,3.08005771160387,"p = 1","Scenario 1","30"
"50","Wmax_lag.3","Wmax",3,33,-3.08005771160387,3.08005771160387,"p = 1","Scenario 1","30"
"51","Wmax_lag.2","Wmax",2,33,-3.08005771160387,3.08005771160387,"p = 1","Scenario 1","30"
"52","Wmax_lag.1","Wmax",1,33,-3.08005771160387,3.08005771160387,"p = 1","Scenario 1","30"
"53","Wmean_lag.10","Wmean",10,33,-3.08005771160387,3.08005771160387,"p = 1","Scenario 1","30"
"54","Wmean_lag.9","Wmean",9,33,-3.08005771160387,3.08005771160387,"p = 1","Scenario 1","30"
"55","Wmean_lag.8","Wmean",8,33,-3.08005771160387,3.08005771160387,"p = 1","Scenario 1","30"
"56","Wmean_lag.7","Wmean",7,33,-3.08005771160387,3.08005771160387,"p = 1","Scenario 1","30"
"57","Wmean_lag.6","Wmean",6,33,-3.08005771160387,3.08005771160387,"p = 1","Scenario 1","30"
"58","tmin_lag.8","tmin",8,34,-3.39141517511646,3.39141517511646,"p = 1","Scenario 1","30"
"59","tmin_lag.7","tmin",7,34,-3.39141517511646,3.39141517511646,"p = 1","Scenario 1","30"
"60","tmin_lag.6","tmin",6,34,-3.39141517511646,3.39141517511646,"p = 1","Scenario 1","30"
"61","tmean_lag.8","tmean",8,34,-3.39141517511646,3.39141517511646,"p = 1","Scenario 1","30"
