"","Approach","Method","Data_source","Association","Corr","RSME","Initial_training_samples","Testing_samples"
"54","Time series reconstruction","Random Forests","p = 5","Scenario 1",0.000350131634747533,1.68943825814583,"60",151
"55","Naive up to 3 lags","Light GBM","p = 5","Scenario 1",0.00118156929357978,1.99067956940589,"30",181
"56","Naive up to 3 lags","Random Forests","p = 5","Scenario 1",0.00122237022495845,1.75467048077678,"30",181
"57","Naive up to 3 lags","Lasso","p = 5","Scenario 1",0.0062181852748402,1.66419210498711,"30",181
"58","Naive up to 3 lags","Light GBM","p = 5","Scenario 1",0.00034918057470508,1.89466298419578,"60",151
"59","Naive up to 3 lags","Random Forests","p = 5","Scenario 1",2.35728378771057e-05,1.68272148620585,"60",151
"60","Naive up to 3 lags","Lasso","p = 5","Scenario 1",0.00705492904995967,1.60216876612159,"60",151
"61","Naive up to 6 lags","Light GBM","p = 5","Scenario 1",0.150489571937995,1.64527548369828,"30",181
"62","Naive up to 6 lags","Random Forests","p = 5","Scenario 1",0.214963171167089,1.4509021115572,"30",181
"63","Naive up to 6 lags","Lasso","p = 5","Scenario 1",0.275869359901638,1.38967207725318,"30",181
"64","Naive up to 6 lags","Light GBM","p = 5","Scenario 1",0.155858888035873,1.57405179424448,"60",151
"65","Naive up to 6 lags","Random Forests","p = 5","Scenario 1",0.240218964705903,1.38900502790336,"60",151
"66","Naive up to 6 lags","Lasso","p = 5","Scenario 1",0.290548858249717,1.34095783197814,"60",151
"67","All climate time series","Light GBM","p = 5","Scenario 1",2.85422954100879e-07,1.9665812977807,"30",181
"68","All climate time series","Random Forests","p = 5","Scenario 1",0.00178801656614694,1.73485901463223,"30",181
"69","All climate time series","Lasso","p = 5","Scenario 1",0.00175991146967962,1.66950967345188,"30",181
"70","All climate time series","Light GBM","p = 5","Scenario 1",0.000155062557249173,1.90311123857421,"60",151
"71","All climate time series","Random Forests","p = 5","Scenario 1",0.00122431981651928,1.67907500424776,"60",151
"72","All climate time series","Lasso","p = 5","Scenario 1",0.00227876647596775,1.6136404409675,"60",151
"73","Time series reconstruction","Light GBM","p = 1","Scenario 2",0.629523824167727,20.5727067733665,"30",181
"74","Time series reconstruction","Lasso","p = 1","Scenario 2",0.761562754752683,16.2871948330692,"30",181
"75","Time series reconstruction","Random Forests","p = 1","Scenario 2",0.67744641808541,19.0601263983338,"30",181
"76","Time series reconstruction","Light GBM","p = 1","Scenario 2",0.688046373398541,18.5482802434227,"60",151
"77","Time series reconstruction","Lasso","p = 1","Scenario 2",0.827702051859552,13.905875706954,"60",151
"78","Time series reconstruction","Random Forests","p = 1","Scenario 2",0.731894854473212,17.219510220501,"60",151
"79","Naive up to 3 lags","Light GBM","p = 1","Scenario 2",0.657290643790231,19.7357991530194,"30",181
"80","Naive up to 3 lags","Random Forests","p = 1","Scenario 2",0.743343783803716,16.9210885321401,"30",181
"81","Naive up to 3 lags","Lasso","p = 1","Scenario 2",0.782074818988477,15.5201616468202,"30",181
"82","Naive up to 3 lags","Light GBM","p = 1","Scenario 2",0.664421798759582,19.3015616869132,"60",151
"83","Naive up to 3 lags","Random Forests","p = 1","Scenario 2",0.752798727188652,16.3416070160104,"60",151
"84","Naive up to 3 lags","Lasso","p = 1","Scenario 2",0.832095864840927,13.6522718325742,"60",151
"85","Naive up to 6 lags","Light GBM","p = 1","Scenario 2",0.680922762130237,18.9453558872203,"30",181
"86","Naive up to 6 lags","Random Forests","p = 1","Scenario 2",0.738440636340523,17.2570598355831,"30",181
"87","Naive up to 6 lags","Lasso","p = 1","Scenario 2",0.778587074818916,15.6921686006045,"30",181
"88","Naive up to 6 lags","Light GBM","p = 1","Scenario 2",0.651085301501186,19.529266235266,"60",151
"89","Naive up to 6 lags","Random Forests","p = 1","Scenario 2",0.747134984255752,16.6367639405091,"60",151
"90","Naive up to 6 lags","Lasso","p = 1","Scenario 2",0.819073223841165,14.1886028982523,"60",151
"91","All climate time series","Light GBM","p = 1","Scenario 2",0.498331185927009,24.0123704517566,"30",181
"92","All climate time series","Random Forests","p = 1","Scenario 2",0.658006278845493,20.7748163554652,"30",181
"93","All climate time series","Lasso","p = 1","Scenario 2",0.608046559002603,21.9408591629621,"30",181
"94","All climate time series","Light GBM","p = 1","Scenario 2",0.545049854600654,22.6432575076446,"60",151
"95","All climate time series","Random Forests","p = 1","Scenario 2",0.66954689168245,19.918587866263,"60",151
"96","All climate time series","Lasso","p = 1","Scenario 2",0.63391642123504,20.7692641003997,"60",151
"97","Time series reconstruction","Light GBM","p = 3","Scenario 2",0.649849149528465,27.7016561635069,"30",181
"98","Time series reconstruction","Lasso","p = 3","Scenario 2",0.702424735764406,25.1763182207912,"30",181
"99","Time series reconstruction","Random Forests","p = 3","Scenario 2",0.660860533980597,26.9619800983431,"30",181
"100","Time series reconstruction","Light GBM","p = 3","Scenario 2",0.701812003223061,26.060525664087,"60",151
"101","Time series reconstruction","Lasso","p = 3","Scenario 2",0.706794009099399,25.6814744541965,"60",151
"102","Time series reconstruction","Random Forests","p = 3","Scenario 2",0.71151922876829,25.4546548932646,"60",151
"103","Naive up to 3 lags","Light GBM","p = 3","Scenario 2",0.70210464907192,25.6477979415243,"30",181
"104","Naive up to 3 lags","Random Forests","p = 3","Scenario 2",0.718217265979733,24.5449771437137,"30",181
"105","Naive up to 3 lags","Lasso","p = 3","Scenario 2",0.722227489071212,24.3837069777031,"30",181
"106","Naive up to 3 lags","Light GBM","p = 3","Scenario 2",0.701992780153232,26.2698360719688,"60",151
"107","Naive up to 3 lags","Random Forests","p = 3","Scenario 2",0.731172895922503,24.6230575386433,"60",151
"108","Naive up to 3 lags","Lasso","p = 3","Scenario 2",0.732739403795764,24.5082863838708,"60",151
"109","Naive up to 6 lags","Light GBM","p = 3","Scenario 2",0.67643115035006,27.2879937238598,"30",181
"110","Naive up to 6 lags","Random Forests","p = 3","Scenario 2",0.721564802245637,24.3769272944465,"30",181
"111","Naive up to 6 lags","Lasso","p = 3","Scenario 2",0.735626212166323,23.8787336116055,"30",181
"112","Naive up to 6 lags","Light GBM","p = 3","Scenario 2",0.685490267357382,27.509929196465,"60",151
"113","Naive up to 6 lags","Random Forests","p = 3","Scenario 2",0.732240662107357,24.5654449881282,"60",151
"114","Naive up to 6 lags","Lasso","p = 3","Scenario 2",0.738695627952518,24.2761651049027,"60",151
"115","All climate time series","Light GBM","p = 3","Scenario 2",0.157577838902378,45.9446757700762,"30",181
"116","All climate time series","Random Forests","p = 3","Scenario 2",0.328173496944346,39.7345407616903,"30",181
"117","All climate time series","Lasso","p = 3","Scenario 2",0.328413736626855,40.0205951493906,"30",181
"118","All climate time series","Light GBM","p = 3","Scenario 2",0.163053373433673,46.7879756348817,"60",151
"119","All climate time series","Random Forests","p = 3","Scenario 2",0.33229407049192,40.4112547071579,"60",151
"120","All climate time series","Lasso","p = 3","Scenario 2",0.372795820921775,39.5154939322876,"60",151
"121","Time series reconstruction","Light GBM","p = 5","Scenario 2",0.584865124316416,37.6666974172951,"30",181
"122","Time series reconstruction","Lasso","p = 5","Scenario 2",0.687258970854653,32.4182353908924,"30",181
"123","Time series reconstruction","Random Forests","p = 5","Scenario 2",0.589414829442737,36.5860432082418,"30",181
"124","Time series reconstruction","Light GBM","p = 5","Scenario 2",0.613888436804007,36.6369675530295,"60",151
"125","Time series reconstruction","Lasso","p = 5","Scenario 2",0.724173229954356,30.6978102454788,"60",151
"126","Time series reconstruction","Random Forests","p = 5","Scenario 2",0.635797070549249,34.896181116863,"60",151
"127","Naive up to 3 lags","Light GBM","p = 5","Scenario 2",0.591836631558232,37.8268971244064,"30",181
"128","Naive up to 3 lags","Random Forests","p = 5","Scenario 2",0.674186498419077,32.534055987215,"30",181
"129","Naive up to 3 lags","Lasso","p = 5","Scenario 2",0.647481410243108,34.2841398033186,"30",181
"130","Naive up to 3 lags","Light GBM","p = 5","Scenario 2",0.56811058091503,39.5800078070026,"60",151
"131","Naive up to 3 lags","Random Forests","p = 5","Scenario 2",0.668854496880285,33.3616885719192,"60",151
"132","Naive up to 3 lags","Lasso","p = 5","Scenario 2",0.6376996592417,35.1873751114347,"60",151
"133","Naive up to 6 lags","Light GBM","p = 5","Scenario 2",0.631610099755883,36.6917566693508,"30",181
"134","Naive up to 6 lags","Random Forests","p = 5","Scenario 2",0.695715351016518,31.6470137882535,"30",181
"135","Naive up to 6 lags","Lasso","p = 5","Scenario 2",0.742357381939261,30.7389657008562,"30",181
"136","Naive up to 6 lags","Light GBM","p = 5","Scenario 2",0.62158620044964,38.1893864181166,"60",151
"137","Naive up to 6 lags","Random Forests","p = 5","Scenario 2",0.688915310459032,32.9329397706973,"60",151
"138","Naive up to 6 lags","Lasso","p = 5","Scenario 2",0.733152387612837,31.5095992585283,"60",151
"139","All climate time series","Light GBM","p = 5","Scenario 2",0.157567940079097,60.5698304680737,"30",181
"140","All climate time series","Random Forests","p = 5","Scenario 2",0.25831717438397,54.9451735989589,"30",181
"141","All climate time series","Lasso","p = 5","Scenario 2",0.243264185459865,55.6915664190069,"30",181
"142","All climate time series","Light GBM","p = 5","Scenario 2",0.13143944152054,62.223542939813,"60",151
"143","All climate time series","Random Forests","p = 5","Scenario 2",0.215881293055902,56.4233712190277,"60",151
"144","All climate time series","Lasso","p = 5","Scenario 2",0.250969451768301,55.7611644920987,"60",151
"145","Time series reconstruction","Light GBM","p = 1","Scenario 3",0.507159247726198,36.63091572029,"30",181
"146","Time series reconstruction","Lasso","p = 1","Scenario 3",0.599162758335698,32.8254090009263,"30",181
"147","Time series reconstruction","Random Forests","p = 1","Scenario 3",0.433934339002592,39.3394509256079,"30",181
"148","Time series reconstruction","Light GBM","p = 1","Scenario 3",0.551071186676842,35.4667016601484,"60",151
"149","Time series reconstruction","Lasso","p = 1","Scenario 3",0.621589004343559,32.5208470669871,"60",151
"150","Time series reconstruction","Random Forests","p = 1","Scenario 3",0.453299631281197,39.352026788688,"60",151
"151","Naive up to 3 lags","Light GBM","p = 1","Scenario 3",0.492560226561536,39.5034273531493,"30",181
"152","Naive up to 3 lags","Random Forests","p = 1","Scenario 3",0.460491030634054,38.3114233357915,"30",181
"153","Naive up to 3 lags","Lasso","p = 1","Scenario 3",0.58779599905652,33.3424426057659,"30",181
"154","Naive up to 3 lags","Light GBM","p = 1","Scenario 3",0.534586300277814,38.4687998032047,"60",151
"155","Naive up to 3 lags","Random Forests","p = 1","Scenario 3",0.452973517036271,39.5126814331586,"60",151
"156","Naive up to 3 lags","Lasso","p = 1","Scenario 3",0.598300285253593,33.6603941412506,"60",151
"157","Naive up to 6 lags","Light GBM","p = 1","Scenario 3",0.529012668016901,36.3713747378904,"30",181
"158","Naive up to 6 lags","Random Forests","p = 1","Scenario 3",0.460420808111199,38.0428376947944,"30",181
"159","Naive up to 6 lags","Lasso","p = 1","Scenario 3",0.574366722578923,33.8268326538799,"30",181
"160","Naive up to 6 lags","Light GBM","p = 1","Scenario 3",0.556513271250097,35.7587786045275,"60",151
"161","Naive up to 6 lags","Random Forests","p = 1","Scenario 3",0.463338463082749,38.7402029372597,"60",151
"162","Naive up to 6 lags","Lasso","p = 1","Scenario 3",0.607950087188745,33.1794654047676,"60",151
"163","All climate time series","Light GBM","p = 1","Scenario 3",0.179071236799342,48.3388184433725,"30",181
"164","All climate time series","Random Forests","p = 1","Scenario 3",0.244990269624314,45.0486221702451,"30",181
"165","All climate time series","Lasso","p = 1","Scenario 3",0.264352629123342,44.536170029944,"30",181
"166","All climate time series","Light GBM","p = 1","Scenario 3",0.230376515773259,46.9321938863479,"60",151
"167","All climate time series","Random Forests","p = 1","Scenario 3",0.287923329912175,44.8764528186465,"60",151
"168","All climate time series","Lasso","p = 1","Scenario 3",0.298334759332246,44.6370469811916,"60",151
"169","Time series reconstruction","Light GBM","p = 3","Scenario 3",0.417658341827081,32.5946232099385,"30",181
"170","Time series reconstruction","Lasso","p = 3","Scenario 3",0.548363136109775,27.8500366047233,"30",181
"171","Time series reconstruction","Random Forests","p = 3","Scenario 3",0.56103178078193,27.768046040758,"30",181
"172","Time series reconstruction","Light GBM","p = 3","Scenario 3",0.422953389251298,34.3907806431686,"60",151
"173","Time series reconstruction","Lasso","p = 3","Scenario 3",0.523582010923161,30.312178455993,"60",151
"174","Time series reconstruction","Random Forests","p = 3","Scenario 3",0.572986372888224,29.0164720591482,"60",151
"175","Naive up to 3 lags","Light GBM","p = 3","Scenario 3",0.444445182187039,33.0303946912739,"30",181
"176","Naive up to 3 lags","Random Forests","p = 3","Scenario 3",0.580337466477633,26.840044672336,"30",181
