"","Approach","Method","Data_source","Association","Corr","RSME","Initial_training_samples","Testing_samples"
"59","All climate time series + 6 lags","Random Forests","p = 3","Scenario 2",0.831602728533639,18.6020412506428,"60",151
"60","All climate time series + 6 lags","Lasso","p = 3","Scenario 2",0.825867165992664,18.5682429619424,"60",151
"61","All climate time series + 3 lags","Light GBM","p = 5","Scenario 2",0.728040266463435,31.4345066116641,"30",181
"62","All climate time series + 3 lags","Random Forests","p = 5","Scenario 2",0.785132369494766,27.9651675932455,"30",181
"63","All climate time series + 3 lags","Lasso","p = 5","Scenario 2",0.699769017458393,32.8446985725966,"30",181
"64","All climate time series + 3 lags","Light GBM","p = 5","Scenario 2",0.73916312277983,32.002851765687,"60",151
"65","All climate time series + 3 lags","Random Forests","p = 5","Scenario 2",0.796190935934937,28.1855868751969,"60",151
"66","All climate time series + 3 lags","Lasso","p = 5","Scenario 2",0.68520782170058,34.9663857641845,"60",151
"67","All climate time series + 6 lags","Light GBM","p = 5","Scenario 2",0.740629064772119,30.4760383888015,"30",181
"68","All climate time series + 6 lags","Random Forests","p = 5","Scenario 2",0.813769768171353,25.6905292329946,"30",181
"69","All climate time series + 6 lags","Lasso","p = 5","Scenario 2",0.767262828984945,29.5508692709672,"30",181
"70","All climate time series + 6 lags","Light GBM","p = 5","Scenario 2",0.747756083349253,31.3249502308636,"60",151
"71","All climate time series + 6 lags","Random Forests","p = 5","Scenario 2",0.824519521887912,26.0998118607298,"60",151
"72","All climate time series + 6 lags","Lasso","p = 5","Scenario 2",0.747722465872495,32.0963121491976,"60",151
"73","All climate time series + 3 lags","Light GBM","p = 1","Scenario 3",0.509525810033494,33.0181799468833,"30",181
"74","All climate time series + 3 lags","Random Forests","p = 1","Scenario 3",0.633366268039353,28.9301880200331,"30",181
"75","All climate time series + 3 lags","Lasso","p = 1","Scenario 3",0.7071395196726,25.4194957227661,"30",181
"76","All climate time series + 3 lags","Light GBM","p = 1","Scenario 3",0.550787437926417,32.6291812225157,"60",151
"77","All climate time series + 3 lags","Random Forests","p = 1","Scenario 3",0.633791951282669,30.3074941797205,"60",151
"78","All climate time series + 3 lags","Lasso","p = 1","Scenario 3",0.70925948746546,26.2603596747843,"60",151
"79","All climate time series + 6 lags","Light GBM","p = 1","Scenario 3",0.510255512731764,32.9072523962302,"30",181
"80","All climate time series + 6 lags","Random Forests","p = 1","Scenario 3",0.590270125322376,30.4712557086012,"30",181
"81","All climate time series + 6 lags","Lasso","p = 1","Scenario 3",0.65719327945521,27.5626481885152,"30",181
"82","All climate time series + 6 lags","Light GBM","p = 1","Scenario 3",0.530487842398304,33.3715988047338,"60",151
"83","All climate time series + 6 lags","Random Forests","p = 1","Scenario 3",0.598095942405949,31.5165692295581,"60",151
"84","All climate time series + 6 lags","Lasso","p = 1","Scenario 3",0.683341980871452,27.4132515711066,"60",151
"85","All climate time series + 3 lags","Light GBM","p = 3","Scenario 3",0.621156956087551,42.3978193123928,"30",181
"86","All climate time series + 3 lags","Random Forests","p = 3","Scenario 3",0.663630462274953,41.6482823342134,"30",181
"87","All climate time series + 3 lags","Lasso","p = 3","Scenario 3",0.592164278462345,44.2296976227912,"30",181
"88","All climate time series + 3 lags","Light GBM","p = 3","Scenario 3",0.601972346785028,45.9232780475155,"60",151
"89","All climate time series + 3 lags","Random Forests","p = 3","Scenario 3",0.653107480016207,44.7608899189863,"60",151
"90","All climate time series + 3 lags","Lasso","p = 3","Scenario 3",0.562138335488762,48.5980195566341,"60",151
"91","All climate time series + 6 lags","Light GBM","p = 3","Scenario 3",0.638832868371345,41.3484431190652,"30",181
"92","All climate time series + 6 lags","Random Forests","p = 3","Scenario 3",0.690635449302382,39.1385696097662,"30",181
"93","All climate time series + 6 lags","Lasso","p = 3","Scenario 3",0.659920041978728,40.8822930352386,"30",181
"94","All climate time series + 6 lags","Light GBM","p = 3","Scenario 3",0.623085885389022,44.6415665379579,"60",151
"95","All climate time series + 6 lags","Random Forests","p = 3","Scenario 3",0.683337576512506,42.0786540221432,"60",151
"96","All climate time series + 6 lags","Lasso","p = 3","Scenario 3",0.66298603792031,42.8878177289402,"60",151
"97","All climate time series + 3 lags","Light GBM","p = 5","Scenario 3",0.621156956087551,42.3978193123928,"30",181
"98","All climate time series + 3 lags","Random Forests","p = 5","Scenario 3",0.660366697416284,41.7213912999184,"30",181
"99","All climate time series + 3 lags","Lasso","p = 5","Scenario 3",0.589374300792634,44.5525271173949,"30",181
"100","All climate time series + 3 lags","Light GBM","p = 5","Scenario 3",0.601972346785028,45.9232780475155,"60",151
"101","All climate time series + 3 lags","Random Forests","p = 5","Scenario 3",0.646923985902777,45.0875881209643,"60",151
"102","All climate time series + 3 lags","Lasso","p = 5","Scenario 3",0.563453388223396,48.5443842000621,"60",151
"103","All climate time series + 6 lags","Light GBM","p = 5","Scenario 3",0.638832868371345,41.3484431190652,"30",181
"104","All climate time series + 6 lags","Random Forests","p = 5","Scenario 3",0.696243721667361,38.9689385562878,"30",181
"105","All climate time series + 6 lags","Lasso","p = 5","Scenario 3",0.667923911292858,40.1735407703148,"30",181
"106","All climate time series + 6 lags","Light GBM","p = 5","Scenario 3",0.623085885389022,44.6415665379579,"60",151
"107","All climate time series + 6 lags","Random Forests","p = 5","Scenario 3",0.680623978912299,42.1787580051323,"60",151
"108","All climate time series + 6 lags","Lasso","p = 5","Scenario 3",0.647652662766218,43.8710976742488,"60",151
