"","Approach","Method","Data_source","Association","Corr","RSME","Initial_training_samples","Testing_samples"
"1","Time series reconstruction","Light GBM","p = 1","Scenario 1",0.294384452969511,2.87254227082864,"30",181
"2","Time series reconstruction","Lasso","p = 1","Scenario 1",0.389155088953966,2.41321027257211,"30",181
"3","Time series reconstruction","Random Forests","p = 1","Scenario 1",0.271334367171288,2.63690272941958,"30",181
"4","Time series reconstruction","Light GBM","p = 1","Scenario 1",0.247619730116924,2.63306030180696,"60",151
"5","Time series reconstruction","Lasso","p = 1","Scenario 1",0.227794510457798,2.32614200747894,"60",151
"6","Time series reconstruction","Random Forests","p = 1","Scenario 1",0.149600370046459,2.47526038325453,"60",151
"7","Naive up to 3 lags","Light GBM","p = 1","Scenario 1",0.282237585258762,2.90550277714672,"30",181
"8","Naive up to 3 lags","Random Forests","p = 1","Scenario 1",0.337265794445164,2.51197939517249,"30",181
"9","Naive up to 3 lags","Lasso","p = 1","Scenario 1",0.356238480442233,2.47982755278061,"30",181
"10","Naive up to 3 lags","Light GBM","p = 1","Scenario 1",0.219369721519213,2.65291650732809,"60",151
"11","Naive up to 3 lags","Random Forests","p = 1","Scenario 1",0.210449807028272,2.37624128169613,"60",151
"12","Naive up to 3 lags","Lasso","p = 1","Scenario 1",0.209177949447603,2.37142380069633,"60",151
"13","Naive up to 6 lags","Light GBM","p = 1","Scenario 1",0.252477276668474,2.91807797685909,"30",181
"14","Naive up to 6 lags","Random Forests","p = 1","Scenario 1",0.314645601076971,2.55229470497715,"30",181
"15","Naive up to 6 lags","Lasso","p = 1","Scenario 1",0.373457512047919,2.43613894946732,"30",181
"16","Naive up to 6 lags","Light GBM","p = 1","Scenario 1",0.167136348014884,2.71874421433626,"60",151
"17","Naive up to 6 lags","Random Forests","p = 1","Scenario 1",0.184517569417599,2.40950658519294,"60",151
"18","Naive up to 6 lags","Lasso","p = 1","Scenario 1",0.220078556171192,2.33768065609,"60",151
"19","All climate time series","Light GBM","p = 1","Scenario 1",0.00246774347244012,3.78868885638827,"30",181
"20","All climate time series","Random Forests","p = 1","Scenario 1",0.0135269434943931,3.29973652577125,"30",181
"21","All climate time series","Lasso","p = 1","Scenario 1",0.00100285090937092,3.14606043291197,"30",181
"22","All climate time series","Light GBM","p = 1","Scenario 1",0.0110770715251791,3.53555967687192,"60",151
"23","All climate time series","Random Forests","p = 1","Scenario 1",0.00312375454325215,3.04150362326088,"60",151
"24","All climate time series","Lasso","p = 1","Scenario 1",0.0461874889205135,2.80902490552997,"60",151
"25","Time series reconstruction","Light GBM","p = 3","Scenario 1",0.00101445626763341,1.9551855268464,"30",181
"26","Time series reconstruction","Lasso","p = 3","Scenario 1",0.020171912562751,1.81206146126274,"30",181
"27","Time series reconstruction","Random Forests","p = 3","Scenario 1",0.000394249640718523,1.80896637466242,"30",181
"28","Time series reconstruction","Light GBM","p = 3","Scenario 1",0.00281902191680191,2.01776065463622,"60",151
"29","Time series reconstruction","Lasso","p = 3","Scenario 1",0.030132170814797,1.83570786841416,"60",151
"30","Time series reconstruction","Random Forests","p = 3","Scenario 1",0.00162841271528108,1.848317480161,"60",151
"31","Naive up to 3 lags","Light GBM","p = 3","Scenario 1",0.0702858367165052,1.77987172282526,"30",181
"32","Naive up to 3 lags","Random Forests","p = 3","Scenario 1",0.0771030366475309,1.63004258945098,"30",181
"33","Naive up to 3 lags","Lasso","p = 3","Scenario 1",0.0862975779202065,1.62383419299669,"30",181
"34","Naive up to 3 lags","Light GBM","p = 3","Scenario 1",0.0590390839527409,1.84906601865312,"60",151
"35","Naive up to 3 lags","Random Forests","p = 3","Scenario 1",0.0850935931617984,1.6546112567238,"60",151
"36","Naive up to 3 lags","Lasso","p = 3","Scenario 1",0.0995252405447341,1.64297013688889,"60",151
"37","Naive up to 6 lags","Light GBM","p = 3","Scenario 1",0.0827286740089146,1.82170290607474,"30",181
"38","Naive up to 6 lags","Random Forests","p = 3","Scenario 1",0.0663321205585835,1.66397956606729,"30",181
"39","Naive up to 6 lags","Lasso","p = 3","Scenario 1",0.075814607306854,1.6277113466432,"30",181
"40","Naive up to 6 lags","Light GBM","p = 3","Scenario 1",0.0698326438174215,1.90092422276926,"60",151
"41","Naive up to 6 lags","Random Forests","p = 3","Scenario 1",0.0677912941952189,1.70296400843244,"60",151
"42","Naive up to 6 lags","Lasso","p = 3","Scenario 1",0.087927007150169,1.65155369975145,"60",151
"43","All climate time series","Light GBM","p = 3","Scenario 1",0.0040415013337905,1.87176611540732,"30",181
"44","All climate time series","Random Forests","p = 3","Scenario 1",0.0216552927525532,1.69164429774286,"30",181
"45","All climate time series","Lasso","p = 3","Scenario 1",0.00101411058249621,1.72360781948568,"30",181
"46","All climate time series","Light GBM","p = 3","Scenario 1",0.00865414050492411,1.87218343712883,"60",151
"47","All climate time series","Random Forests","p = 3","Scenario 1",0.0327489572162785,1.70666371983181,"60",151
"48","All climate time series","Lasso","p = 3","Scenario 1",9.62126557978446e-05,1.74038483223538,"60",151
"49","Time series reconstruction","Light GBM","p = 5","Scenario 1",0.000606225259681398,2.45362350872519,"30",181
"50","Time series reconstruction","Lasso","p = 5","Scenario 1",0.0128440298532169,1.93147090726416,"30",181
"51","Time series reconstruction","Random Forests","p = 5","Scenario 1",0.00572825291846791,1.99791742841573,"30",181
"52","Time series reconstruction","Light GBM","p = 5","Scenario 1",0.000221881037913279,2.51254397334494,"60",151
"53","Time series reconstruction","Lasso","p = 5","Scenario 1",0.00415766159122191,1.98988649723599,"60",151
"54","Time series reconstruction","Random Forests","p = 5","Scenario 1",0.0037883154181773,2.05241045404936,"60",151
"55","Naive up to 3 lags","Light GBM","p = 5","Scenario 1",0.00133182240684493,2.23159747935268,"30",181
"56","Naive up to 3 lags","Random Forests","p = 5","Scenario 1",0.000258986349501794,1.95546287531018,"30",181
"57","Naive up to 3 lags","Lasso","p = 5","Scenario 1",0.000152921093545556,1.89282616226675,"30",181
"58","Naive up to 3 lags","Light GBM","p = 5","Scenario 1",0.00159065156920277,2.20970297205298,"60",151
"59","Naive up to 3 lags","Random Forests","p = 5","Scenario 1",0.000670983161411795,1.99152404944574,"60",151
"60","Naive up to 3 lags","Lasso","p = 5","Scenario 1",0.000109813345718635,1.94979549015848,"60",151
