"","Approach","Method","Data_source","Association","Corr","RSME","Initial_training_samples","Testing_samples"
"1","All climate time series + 3 lags","Light GBM","p = 1","Scenario 1",0.113643879881661,2.9636968166649,"30",181
"2","All climate time series + 3 lags","Random Forests","p = 1","Scenario 1",0.155077236272307,2.62207445103159,"30",181
"3","All climate time series + 3 lags","Lasso","p = 1","Scenario 1",0.218488480699469,2.49602420449532,"30",181
"4","All climate time series + 3 lags","Light GBM","p = 1","Scenario 1",0.13441806654752,2.99209343181164,"60",151
"5","All climate time series + 3 lags","Random Forests","p = 1","Scenario 1",0.160558398364148,2.72335464188329,"60",151
"6","All climate time series + 3 lags","Lasso","p = 1","Scenario 1",0.240219121532774,2.57561886773957,"60",151
"7","All climate time series + 6 lags","Light GBM","p = 1","Scenario 1",0.15056044544951,2.87981248403292,"30",181
"8","All climate time series + 6 lags","Random Forests","p = 1","Scenario 1",0.150046010419721,2.6363757012765,"30",181
"9","All climate time series + 6 lags","Lasso","p = 1","Scenario 1",0.213294401935209,2.50793537008499,"30",181
"10","All climate time series + 6 lags","Light GBM","p = 1","Scenario 1",0.181490301697973,2.89866701971946,"60",151
"11","All climate time series + 6 lags","Random Forests","p = 1","Scenario 1",0.161751960865957,2.72982569781997,"60",151
"12","All climate time series + 6 lags","Lasso","p = 1","Scenario 1",0.226566269115086,2.60028328582736,"60",151
"13","All climate time series + 3 lags","Light GBM","p = 3","Scenario 1",0.124870363235408,2.93223583956982,"30",181
"14","All climate time series + 3 lags","Random Forests","p = 3","Scenario 1",0.0962392587902412,2.63287869104673,"30",181
"15","All climate time series + 3 lags","Lasso","p = 3","Scenario 1",0.0040565453714615,2.83515303682973,"30",181
"16","All climate time series + 3 lags","Light GBM","p = 3","Scenario 1",0.133511527694822,3.11966188200798,"60",151
"17","All climate time series + 3 lags","Random Forests","p = 3","Scenario 1",0.102728339542044,2.80676800841354,"60",151
"18","All climate time series + 3 lags","Lasso","p = 3","Scenario 1",0.0269923095823089,2.92690032733754,"60",151
"19","All climate time series + 6 lags","Light GBM","p = 3","Scenario 1",0.104520369117167,3.23241602578202,"30",181
"20","All climate time series + 6 lags","Random Forests","p = 3","Scenario 1",0.094569307967714,2.65587066401199,"30",181
"21","All climate time series + 6 lags","Lasso","p = 3","Scenario 1",0.013750544259746,2.77081163547366,"30",181
"22","All climate time series + 6 lags","Light GBM","p = 3","Scenario 1",0.11571439520563,3.40474441073653,"60",151
"23","All climate time series + 6 lags","Random Forests","p = 3","Scenario 1",0.104643201491968,2.82038258259801,"60",151
"24","All climate time series + 6 lags","Lasso","p = 3","Scenario 1",0.00122499905416218,3.12966649580525,"60",151
"25","All climate time series + 3 lags","Light GBM","p = 5","Scenario 1",0.000309289003786603,2.23008125698521,"30",181
"26","All climate time series + 3 lags","Random Forests","p = 5","Scenario 1",0.00943100385163966,1.95231631979434,"30",181
"27","All climate time series + 3 lags","Lasso","p = 5","Scenario 1",0.0011336149176133,1.91972538801603,"30",181
"28","All climate time series + 3 lags","Light GBM","p = 5","Scenario 1",0.00201731026571664,2.33062436901834,"60",151
"29","All climate time series + 3 lags","Random Forests","p = 5","Scenario 1",0.00547232443306253,2.02594194793659,"60",151
"30","All climate time series + 3 lags","Lasso","p = 5","Scenario 1",0.00590758873154631,1.99800344519561,"60",151
"31","All climate time series + 6 lags","Light GBM","p = 5","Scenario 1",0.086320011729899,2.00252536933443,"30",181
"32","All climate time series + 6 lags","Random Forests","p = 5","Scenario 1",0.0922522827447977,1.82578053320399,"30",181
"33","All climate time series + 6 lags","Lasso","p = 5","Scenario 1",0.00955306692491244,1.90905834788051,"30",181
"34","All climate time series + 6 lags","Light GBM","p = 5","Scenario 1",0.0945340867916183,2.04768060285793,"60",151
"35","All climate time series + 6 lags","Random Forests","p = 5","Scenario 1",0.097463167844556,1.88003916076744,"60",151
"36","All climate time series + 6 lags","Lasso","p = 5","Scenario 1",0.0100667156290359,1.97369123741728,"60",151
"37","All climate time series + 3 lags","Light GBM","p = 1","Scenario 2",0.372156082406595,33.4256395854151,"30",181
"38","All climate time series + 3 lags","Random Forests","p = 1","Scenario 2",0.39361634334254,32.0451449031395,"30",181
"39","All climate time series + 3 lags","Lasso","p = 1","Scenario 2",0.435228692398686,30.8931488727946,"30",181
"40","All climate time series + 3 lags","Light GBM","p = 1","Scenario 2",0.42854918712367,32.8624589093894,"60",151
"41","All climate time series + 3 lags","Random Forests","p = 1","Scenario 2",0.42692395086024,32.7375572025961,"60",151
"42","All climate time series + 3 lags","Lasso","p = 1","Scenario 2",0.441145278363773,32.2605170698889,"60",151
"43","All climate time series + 6 lags","Light GBM","p = 1","Scenario 2",0.334252460612264,35.0168394333713,"30",181
"44","All climate time series + 6 lags","Random Forests","p = 1","Scenario 2",0.388519097660691,32.2316474425178,"30",181
"45","All climate time series + 6 lags","Lasso","p = 1","Scenario 2",0.410134030965015,31.6154284035308,"30",181
"46","All climate time series + 6 lags","Light GBM","p = 1","Scenario 2",0.388551891233897,34.416108173394,"60",151
"47","All climate time series + 6 lags","Random Forests","p = 1","Scenario 2",0.426345537920307,32.7932197224418,"60",151
"48","All climate time series + 6 lags","Lasso","p = 1","Scenario 2",0.462326923914111,31.7863301902431,"60",151
"49","All climate time series + 3 lags","Light GBM","p = 3","Scenario 2",0.133776140615672,64.9951754177942,"30",181
"50","All climate time series + 3 lags","Random Forests","p = 3","Scenario 2",0.266175674112213,51.0311028283851,"30",181
"51","All climate time series + 3 lags","Lasso","p = 3","Scenario 2",0.145180113298047,55.87963764426,"30",181
"52","All climate time series + 3 lags","Light GBM","p = 3","Scenario 2",0.127979938650534,69.8140678258714,"60",151
"53","All climate time series + 3 lags","Random Forests","p = 3","Scenario 2",0.270187805563757,54.4000945659042,"60",151
"54","All climate time series + 3 lags","Lasso","p = 3","Scenario 2",0.0821150587049948,62.6557683392495,"60",151
"55","All climate time series + 6 lags","Light GBM","p = 3","Scenario 2",0.113284534363279,71.0768032247687,"30",181
"56","All climate time series + 6 lags","Random Forests","p = 3","Scenario 2",0.203137029670524,53.4066068971339,"30",181
