"","Approach","Method","Data_source","Association","Corr","RSME","Initial_training_samples","Testing_samples"
"1","All climate time series + 3 lags","Light GBM","p = 1","Scenario 1",0.192312005671579,2.4682220988704,"30",181
"2","All climate time series + 3 lags","Random Forests","p = 1","Scenario 1",0.209340279255043,2.30404891278209,"30",181
"3","All climate time series + 3 lags","Lasso","p = 1","Scenario 1",0.277106779884831,2.19859408632839,"30",181
"4","All climate time series + 3 lags","Light GBM","p = 1","Scenario 1",0.192089412207111,2.42060824296041,"60",151
"5","All climate time series + 3 lags","Random Forests","p = 1","Scenario 1",0.185971236014143,2.26548372096628,"60",151
"6","All climate time series + 3 lags","Lasso","p = 1","Scenario 1",0.230296155580008,2.19518788512468,"60",151
"7","All climate time series + 6 lags","Light GBM","p = 1","Scenario 1",0.215731752562742,2.47883453258457,"30",181
"8","All climate time series + 6 lags","Random Forests","p = 1","Scenario 1",0.235374039854829,2.26931154290593,"30",181
"9","All climate time series + 6 lags","Lasso","p = 1","Scenario 1",0.26147664107173,2.22308294752465,"30",181
"10","All climate time series + 6 lags","Light GBM","p = 1","Scenario 1",0.172316341412175,2.53191129173838,"60",151
"11","All climate time series + 6 lags","Random Forests","p = 1","Scenario 1",0.208493187617713,2.236563322101,"60",151
"12","All climate time series + 6 lags","Lasso","p = 1","Scenario 1",0.266419115911511,2.1415049716603,"60",151
"13","All climate time series + 3 lags","Light GBM","p = 3","Scenario 1",0.0568085928520499,2.79756999741816,"30",181
"14","All climate time series + 3 lags","Random Forests","p = 3","Scenario 1",0.0617939995801259,2.29233854440948,"30",181
"15","All climate time series + 3 lags","Lasso","p = 3","Scenario 1",0.159348705160319,1.96801920867249,"30",181
"16","All climate time series + 3 lags","Light GBM","p = 3","Scenario 1",0.114499455073238,2.50424494488361,"60",151
"17","All climate time series + 3 lags","Random Forests","p = 3","Scenario 1",0.135738845013966,2.0932534517597,"60",151
"18","All climate time series + 3 lags","Lasso","p = 3","Scenario 1",0.115736658420689,2.04073619917815,"60",151
"19","All climate time series + 6 lags","Light GBM","p = 3","Scenario 1",0.0423741674784064,2.9306326683327,"30",181
"20","All climate time series + 6 lags","Random Forests","p = 3","Scenario 1",0.0658872127564087,2.31472232014953,"30",181
"21","All climate time series + 6 lags","Lasso","p = 3","Scenario 1",0.126237350804443,2.00254789180169,"30",181
"22","All climate time series + 6 lags","Light GBM","p = 3","Scenario 1",0.0914632326663005,2.59860724204748,"60",151
"23","All climate time series + 6 lags","Random Forests","p = 3","Scenario 1",0.155730804584528,2.07842803356972,"60",151
"24","All climate time series + 6 lags","Lasso","p = 3","Scenario 1",0.14447449466803,2.01688997026381,"60",151
"25","All climate time series + 3 lags","Light GBM","p = 5","Scenario 1",0.0440667598288866,2.14490879280409,"30",181
"26","All climate time series + 3 lags","Random Forests","p = 5","Scenario 1",0.0205833837112609,2.06660840686907,"30",181
"27","All climate time series + 3 lags","Lasso","p = 5","Scenario 1",0.0155150505741942,2.0366259640878,"30",181
"28","All climate time series + 3 lags","Light GBM","p = 5","Scenario 1",0.0686294267343099,2.11361210394654,"60",151
"29","All climate time series + 3 lags","Random Forests","p = 5","Scenario 1",0.0363648643712188,2.04849742278283,"60",151
"30","All climate time series + 3 lags","Lasso","p = 5","Scenario 1",0.0140036842385986,2.04654275518091,"60",151
"31","All climate time series + 6 lags","Light GBM","p = 5","Scenario 1",0.183809370405179,1.98831121775276,"30",181
"32","All climate time series + 6 lags","Random Forests","p = 5","Scenario 1",0.229653168292729,1.79177195344589,"30",181
"33","All climate time series + 6 lags","Lasso","p = 5","Scenario 1",0.175704893612613,1.85751594712458,"30",181
"34","All climate time series + 6 lags","Light GBM","p = 5","Scenario 1",0.249854850141426,1.89680439422982,"60",151
"35","All climate time series + 6 lags","Random Forests","p = 5","Scenario 1",0.27171199222898,1.75936142645457,"60",151
"36","All climate time series + 6 lags","Lasso","p = 5","Scenario 1",0.230806019451926,1.80710900696887,"60",151
"37","All climate time series + 3 lags","Light GBM","p = 1","Scenario 2",0.261651571828297,34.2727362707919,"30",181
"38","All climate time series + 3 lags","Random Forests","p = 1","Scenario 2",0.297254521490237,29.4217049994578,"30",181
"39","All climate time series + 3 lags","Lasso","p = 1","Scenario 2",0.388864422718047,27.4329624423429,"30",181
"40","All climate time series + 3 lags","Light GBM","p = 1","Scenario 2",0.289914879687838,34.6712186042147,"60",151
"41","All climate time series + 3 lags","Random Forests","p = 1","Scenario 2",0.30834233123546,30.7005503075168,"60",151
"42","All climate time series + 3 lags","Lasso","p = 1","Scenario 2",0.426914751161425,27.9329787904819,"60",151
