"","Approach","Method","Data_source","Association","Corr","RSME","Initial_training_samples","Testing_samples"
"54","Time series reconstruction","Random Forests","p = 5","Scenario 1",0.0237680660879424,2.01653955177257,"60",151
"55","Naive up to 3 lags","Light GBM","p = 5","Scenario 1",0.000373733148111518,2.50547423569829,"30",181
"56","Naive up to 3 lags","Random Forests","p = 5","Scenario 1",0.0149519876752601,2.25199399754319,"30",181
"57","Naive up to 3 lags","Lasso","p = 5","Scenario 1",0.00499036717432041,2.12786841798488,"30",181
"58","Naive up to 3 lags","Light GBM","p = 5","Scenario 1",0.00990867271072385,2.21476023429709,"60",151
"59","Naive up to 3 lags","Random Forests","p = 5","Scenario 1",0.00220369232891699,1.9763396319698,"60",151
"60","Naive up to 3 lags","Lasso","p = 5","Scenario 1",0.00423327476415999,1.89601289889837,"60",151
"61","Naive up to 6 lags","Light GBM","p = 5","Scenario 1",0.157270503758599,2.30996012615024,"30",181
"62","Naive up to 6 lags","Random Forests","p = 5","Scenario 1",0.186957985053214,1.92771567004192,"30",181
"63","Naive up to 6 lags","Lasso","p = 5","Scenario 1",0.121493691963812,1.97551535586141,"30",181
"64","Naive up to 6 lags","Light GBM","p = 5","Scenario 1",0.160980497494757,2.20485802551663,"60",151
"65","Naive up to 6 lags","Random Forests","p = 5","Scenario 1",0.178729384698662,1.75275137432219,"60",151
"66","Naive up to 6 lags","Lasso","p = 5","Scenario 1",0.125324574922966,1.75413068679565,"60",151
"67","All climate time series","Light GBM","p = 5","Scenario 1",0.00076274769970254,2.4450295894429,"30",181
"68","All climate time series","Random Forests","p = 5","Scenario 1",0.0225208872223379,2.26954052742603,"30",181
"69","All climate time series","Lasso","p = 5","Scenario 1",0.00446142702165666,2.12100076179946,"30",181
"70","All climate time series","Light GBM","p = 5","Scenario 1",0.000456187484539268,2.25950981535858,"60",151
"71","All climate time series","Random Forests","p = 5","Scenario 1",0.0183395598430011,2.04764429784399,"60",151
"72","All climate time series","Lasso","p = 5","Scenario 1",0.00329619599035268,1.89690105671607,"60",151
"73","Time series reconstruction","Light GBM","p = 1","Scenario 2",0.254824196738316,66.9014012676992,"30",181
"74","Time series reconstruction","Lasso","p = 1","Scenario 2",0.291599135498694,66.9608369934845,"30",181
"75","Time series reconstruction","Random Forests","p = 1","Scenario 2",0.254406498421859,64.2314512764378,"30",181
"76","Time series reconstruction","Light GBM","p = 1","Scenario 2",0.259316839379071,67.2223908207741,"60",151
"77","Time series reconstruction","Lasso","p = 1","Scenario 2",0.318065120767513,68.1932412515336,"60",151
"78","Time series reconstruction","Random Forests","p = 1","Scenario 2",0.254636123155486,65.088405224646,"60",151
"79","Naive up to 3 lags","Light GBM","p = 1","Scenario 2",0.177603470065759,74.9094982057581,"30",181
"80","Naive up to 3 lags","Random Forests","p = 1","Scenario 2",0.270029532936177,64.7346690926684,"30",181
"81","Naive up to 3 lags","Lasso","p = 1","Scenario 2",0.366372250719758,64.9868428832449,"30",181
"82","Naive up to 3 lags","Light GBM","p = 1","Scenario 2",0.138853678195725,78.5434247556062,"60",151
"83","Naive up to 3 lags","Random Forests","p = 1","Scenario 2",0.265553881752824,65.8358221576097,"60",151
"84","Naive up to 3 lags","Lasso","p = 1","Scenario 2",0.321121752634403,68.0153643505272,"60",151
"85","Naive up to 6 lags","Light GBM","p = 1","Scenario 2",0.224517761804726,73.2506869733668,"30",181
"86","Naive up to 6 lags","Random Forests","p = 1","Scenario 2",0.265026168220699,64.5333178125769,"30",181
"87","Naive up to 6 lags","Lasso","p = 1","Scenario 2",0.338837193293744,65.3701840999679,"30",181
"88","Naive up to 6 lags","Light GBM","p = 1","Scenario 2",0.199179575029719,76.4565940477763,"60",151
"89","Naive up to 6 lags","Random Forests","p = 1","Scenario 2",0.236462916423782,66.5148506404934,"60",151
"90","Naive up to 6 lags","Lasso","p = 1","Scenario 2",0.262946067685708,75.155573452559,"60",151
"91","All climate time series","Light GBM","p = 1","Scenario 2",0.0165055254013539,82.5858467938282,"30",181
"92","All climate time series","Random Forests","p = 1","Scenario 2",0.0670014278143557,72.5718184294004,"30",181
