"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"Sigma[9,5]",-5.21677486188082,1.13185651627087,-7.54450167765603,-5.92133747700611,-5.18356787530613,-4.4323296543006,-3.16158054098054,1.01017011592536,210
"Sigma[10,5]",-0.908576712784192,0.812242260509429,-2.54502254419043,-1.45676100740492,-0.887963535268101,-0.3590629765037,0.637940426554614,1.00689673157782,310
"Sigma[1,6]",0.948513935230614,0.31489765194954,0.359212281618179,0.735802242567573,0.926083530723192,1.16314943019047,1.571694059468,1.00713508334823,300
"Sigma[2,6]",1.0515813556477,0.288171444370307,0.514617782312267,0.848569333653635,1.04179475474219,1.24611303334005,1.6303087697837,1.00981303251493,210
"Sigma[3,6]",0.911970966829254,0.275855448353398,0.39336321928254,0.718245082230455,0.903610978385096,1.0999743636907,1.46148013549558,1.00905074665338,230
"Sigma[4,6]",18.5491684295832,4.85250798141493,9.16237204374421,15.2867713050038,18.3979403452451,21.6760430142915,28.7298667744128,1.00884763430035,240
"Sigma[5,6]",1.10850921688194,0.841947082900648,-0.503244831924177,0.533002237068004,1.09763594073563,1.65899856280363,2.79347047442639,1.00596616092167,360
"Sigma[6,6]",2.47427193853852,0.251148197795281,2.03264853808776,2.29862785199403,2.45387690498868,2.62517445575062,3.03595478117857,1.00342229420805,650
"Sigma[7,6]",0.514488377376351,0.0731007037530979,0.385516178075255,0.461935923433831,0.510317471874887,0.561747656847439,0.666732770385298,1.00474135247857,460
"Sigma[8,6]",-0.681445864143073,0.250121759767243,-1.20290090143832,-0.845977170351582,-0.669352260333434,-0.506986805409811,-0.224516740621103,1.00700328498118,300
"Sigma[9,6]",0.420639605066854,0.22926182380719,-0.0196715967714137,0.263086097458812,0.415743061190388,0.572150394957581,0.87077860355524,1.00912909694961,230
"Sigma[10,6]",-0.357348647121383,0.169806830966186,-0.688215990311404,-0.465975262962764,-0.356037111508498,-0.248108755162856,-0.0189194679430744,1.00906603207466,230
"Sigma[1,7]",0.299467441787884,0.116181819538002,0.0797379972311251,0.219261063287104,0.295611205291431,0.374926860568945,0.541352013714305,1.00295628466974,760
"Sigma[2,7]",0.220658507558997,0.102124755167005,0.0316747804516247,0.150580883901548,0.215506864594448,0.286508958843636,0.434087292459518,1.00360651656314,610
