"","Percent_025","Percent_975","Time","Approach","Type","value"
"74",12.4296975,15.3817533333333,37,"All exogenous time series","Observed",3
"75",11.71801,13.9527783333333,38,"All exogenous time series","Predictions",12.8196
"76",11.71801,13.9527783333333,38,"All exogenous time series","Observed",5
"77",17.9493775,21.7289191666667,39,"All exogenous time series","Predictions",19.9377333333333
"78",17.9493775,21.7289191666667,39,"All exogenous time series","Observed",4
"79",14.7391833333333,19.5525583333333,40,"All exogenous time series","Predictions",17.47345
"80",14.7391833333333,19.5525583333333,40,"All exogenous time series","Observed",6
"81",7.6738325,10.0854283333333,41,"All exogenous time series","Predictions",8.7886
"82",7.6738325,10.0854283333333,41,"All exogenous time series","Observed",17
"83",12.7391875,15.1265683333333,42,"All exogenous time series","Predictions",14.1429666666667
"84",12.7391875,15.1265683333333,42,"All exogenous time series","Observed",21
"85",20.9268575,24.3590091666667,43,"All exogenous time series","Predictions",21.88575
"86",20.9268575,24.3590091666667,43,"All exogenous time series","Observed",66
"87",14.3278,16.2546058333333,44,"All exogenous time series","Predictions",15.1086333333333
"88",14.3278,16.2546058333333,44,"All exogenous time series","Observed",24
"89",20.23987,22.3857616666667,45,"All exogenous time series","Predictions",21.4116
"90",20.23987,22.3857616666667,45,"All exogenous time series","Observed",36
"91",11.5503316666667,13.30669,46,"All exogenous time series","Predictions",12.5113666666667
"92",11.5503316666667,13.30669,46,"All exogenous time series","Observed",0
"93",13.8730425,15.409915,47,"All exogenous time series","Predictions",14.6981
"94",13.8730425,15.409915,47,"All exogenous time series","Observed",0
"95",24.7571875,27.8240083333333,48,"All exogenous time series","Predictions",26.0018666666667
"96",24.7571875,27.8240083333333,48,"All exogenous time series","Observed",1
"97",18.37484,20.5360233333333,49,"All exogenous time series","Predictions",19.4164
"98",18.37484,20.5360233333333,49,"All exogenous time series","Observed",2
"99",13.2758241666667,14.9335841666667,50,"All exogenous time series","Predictions",14.0776666666667
"100",13.2758241666667,14.9335841666667,50,"All exogenous time series","Observed",0
"101",12.5319183333333,15.0355825,51,"All exogenous time series","Predictions",13.6994166666667
"102",12.5319183333333,15.0355825,51,"All exogenous time series","Observed",0
"103",11.4541358333333,13.81509,52,"All exogenous time series","Predictions",13.0083
"104",11.4541358333333,13.81509,52,"All exogenous time series","Observed",0
"105",17.4647966666667,20.7190275,53,"All exogenous time series","Predictions",18.76815
"106",17.4647966666667,20.7190275,53,"All exogenous time series","Observed",1
"107",13.7537258333333,16.2264108333333,54,"All exogenous time series","Predictions",14.8588166666667
"108",13.7537258333333,16.2264108333333,54,"All exogenous time series","Observed",2
"109",14.1470033333333,17.4057841666667,55,"All exogenous time series","Predictions",15.72625
"110",14.1470033333333,17.4057841666667,55,"All exogenous time series","Observed",0
"111",27.2938108333334,32.0144483333333,56,"All exogenous time series","Predictions",30.0442
"112",27.2938108333334,32.0144483333333,56,"All exogenous time series","Observed",5
"113",24.4929783333333,27.5111741666667,57,"All exogenous time series","Predictions",25.7842
"114",24.4929783333333,27.5111741666667,57,"All exogenous time series","Observed",0
"115",11.9307275,14.68514,58,"All exogenous time series","Predictions",13.3042
"116",11.9307275,14.68514,58,"All exogenous time series","Observed",0
"117",12.778595,15.4306883333333,59,"All exogenous time series","Predictions",13.8392666666667
"118",12.778595,15.4306883333333,59,"All exogenous time series","Observed",0
"119",30.279095,34.21028,60,"All exogenous time series","Predictions",32.4387833333333
"120",30.279095,34.21028,60,"All exogenous time series","Observed",5
"121",12.0789083333333,15.3160766666667,61,"All exogenous time series","Predictions",13.5665166666667
"122",12.0789083333333,15.3160766666667,61,"All exogenous time series","Observed",19
"123",20.8216541666667,24.4155358333333,62,"All exogenous time series","Predictions",22.9531
"124",20.8216541666667,24.4155358333333,62,"All exogenous time series","Observed",12
"125",16.3448466666667,20.1606866666667,63,"All exogenous time series","Predictions",18.7196333333333
"126",16.3448466666667,20.1606866666667,63,"All exogenous time series","Observed",4
"127",28.4438641666667,32.7921691666667,64,"All exogenous time series","Predictions",30.85295
"128",28.4438641666667,32.7921691666667,64,"All exogenous time series","Observed",5
"129",21.0622916666667,24.7055083333333,65,"All exogenous time series","Predictions",23.25245
"130",21.0622916666667,24.7055083333333,65,"All exogenous time series","Observed",11
"131",23.0247066666667,27.8187975,66,"All exogenous time series","Predictions",25.2523333333333
"132",23.0247066666667,27.8187975,66,"All exogenous time series","Observed",8
"133",17.9134191666667,20.7099133333333,67,"All exogenous time series","Predictions",19.3822333333333
"134",17.9134191666667,20.7099133333333,67,"All exogenous time series","Observed",10
"135",19.2892533333333,22.0355608333333,68,"All exogenous time series","Predictions",20.9356333333333
"136",19.2892533333333,22.0355608333333,68,"All exogenous time series","Observed",9
"137",30.7410741666667,33.7781483333333,69,"All exogenous time series","Predictions",32.24775
"138",30.7410741666667,33.7781483333333,69,"All exogenous time series","Observed",18
"139",34.4739516666667,38.8756558333333,70,"All exogenous time series","Predictions",36.43005
"140",34.4739516666667,38.8756558333333,70,"All exogenous time series","Observed",18
"141",17.7915633333333,20.7249441666666,71,"All exogenous time series","Predictions",18.7188666666667
"142",17.7915633333333,20.7249441666666,71,"All exogenous time series","Observed",15
"143",18.1258691666667,21.1089233333333,72,"All exogenous time series","Predictions",20.0131166666667
