"","rsme","cor","approach"
"1",14.9595599270283,0.0299767175860298,"All exogenous time series"
"2",15.0711078672829,0.0310165934642457,"All exogenous time series"
"3",14.9261794033799,0.0304767640434914,"All exogenous time series"
"4",14.9051933617942,0.0303000404515898,"All exogenous time series"
"5",15.070772058825,0.0284462690949469,"All exogenous time series"
"6",15.0266403504477,0.026793593134457,"All exogenous time series"
"7",15.0542016566814,0.0312329448648248,"All exogenous time series"
"8",14.9494039283793,0.0377370889810223,"All exogenous time series"
"9",15.1064136727876,0.0289380851971369,"All exogenous time series"
"10",14.8015305919548,0.036492444655262,"All exogenous time series"
"11",15.0569624829955,0.0330133078103196,"All exogenous time series"
"12",14.9839797062007,0.0297037959010214,"All exogenous time series"
"13",14.9636260620899,0.0324336226671437,"All exogenous time series"
"14",15.2228798044401,0.0284688696404534,"All exogenous time series"
"15",15.0082321573161,0.0273631356694929,"All exogenous time series"
"16",15.0462837398801,0.0307342577329853,"All exogenous time series"
"17",15.1025091323642,0.0303846104089125,"All exogenous time series"
"18",14.9775410396034,0.031492017885104,"All exogenous time series"
"19",15.0107998035165,0.0296031912753203,"All exogenous time series"
"20",14.9247028972489,0.0329053985658137,"All exogenous time series"
"21",14.9323938685911,0.0341812541175683,"All exogenous time series"
"22",15.0358712153728,0.0284876771481885,"All exogenous time series"
"23",14.9926278788535,0.0261977237680944,"All exogenous time series"
"24",15.1210906414497,0.0318936611393053,"All exogenous time series"
"25",15.0192635987261,0.0288241299390232,"All exogenous time series"
"26",14.8666932925962,0.0349047183625603,"All exogenous time series"
"27",14.9135077789121,0.0348325671487485,"All exogenous time series"
"28",15.056177898866,0.0286053194235799,"All exogenous time series"
"29",14.9146893542116,0.0375595825710914,"All exogenous time series"
"30",14.9480127875727,0.0345118816986024,"All exogenous time series"
"31",15.0794124122603,0.0308105950605263,"All exogenous time series"
"32",14.97790289227,0.0312162881933653,"All exogenous time series"
"33",14.9399974014933,0.0294429853242625,"All exogenous time series"
"34",15.066160111621,0.0302013656243648,"All exogenous time series"
"35",15.0890034570679,0.0338984465088972,"All exogenous time series"
"36",15.1169617040549,0.0248522531642427,"All exogenous time series"
"37",14.978831348499,0.0341102531293022,"All exogenous time series"
"38",15.0717667187136,0.0265967239204711,"All exogenous time series"
"39",14.8736118098743,0.0314566473856629,"All exogenous time series"
"40",14.9647145675759,0.0320786114539311,"All exogenous time series"
"41",14.9903899956309,0.0343902256774551,"All exogenous time series"
"42",14.8669418242366,0.0359493630085913,"All exogenous time series"
"43",14.8455449785675,0.0315658552503412,"All exogenous time series"
"44",14.9396360068942,0.032991137264941,"All exogenous time series"
"45",14.9930815872205,0.0306986676484376,"All exogenous time series"
"46",14.93840794119,0.0320881275947766,"All exogenous time series"
"47",14.943567461822,0.0287550473997176,"All exogenous time series"
"48",14.829610247887,0.0375399939713013,"All exogenous time series"
"49",14.9582479738898,0.0314434912047273,"All exogenous time series"
"50",14.9340051537896,0.0365702738241206,"All exogenous time series"
"51",11.4755498100157,0.141829653679922,"Naive up to 3 lags"
"52",11.4116324505234,0.139838196855031,"Naive up to 3 lags"
"53",11.5265420110007,0.13398189171052,"Naive up to 3 lags"
"54",11.5032753524282,0.143298582958603,"Naive up to 3 lags"
"55",11.5108952808601,0.139401635034001,"Naive up to 3 lags"
"56",11.5227634918513,0.132750703281431,"Naive up to 3 lags"
"57",11.4381012246145,0.138478158010971,"Naive up to 3 lags"
"58",11.4097330142017,0.142727524998772,"Naive up to 3 lags"
"59",11.523872522373,0.135788769100265,"Naive up to 3 lags"
"60",11.3589218657587,0.149194917334838,"Naive up to 3 lags"
"61",11.3950640112996,0.145833406990439,"Naive up to 3 lags"
"62",11.3816868709446,0.146285688320195,"Naive up to 3 lags"
"63",11.3267411568643,0.147855315194604,"Naive up to 3 lags"
"64",11.4588141504069,0.143244877553605,"Naive up to 3 lags"
"65",11.4698400015827,0.140282532316649,"Naive up to 3 lags"
"66",11.4770739013455,0.142017853269084,"Naive up to 3 lags"
"67",11.4080963423328,0.149931470006027,"Naive up to 3 lags"
"68",11.4826277767917,0.13805085596451,"Naive up to 3 lags"
"69",11.3943820103993,0.144875585111872,"Naive up to 3 lags"
"70",11.4204468029854,0.140044569452613,"Naive up to 3 lags"
"71",11.4433702471911,0.141701170428898,"Naive up to 3 lags"
"72",11.4287953529061,0.146201673648418,"Naive up to 3 lags"
"73",11.3969391188419,0.148976545868378,"Naive up to 3 lags"
"74",11.3597794844134,0.145628523637421,"Naive up to 3 lags"
"75",11.4608466599656,0.143132834372043,"Naive up to 3 lags"
"76",11.5460877985696,0.144278961738464,"Naive up to 3 lags"
"77",11.4150576083011,0.13998697939264,"Naive up to 3 lags"
"78",11.455777543524,0.143493909791578,"Naive up to 3 lags"
"79",11.4249390231092,0.143806585006702,"Naive up to 3 lags"
"80",11.3222342573193,0.148462573051524,"Naive up to 3 lags"
"81",11.4449321642049,0.136628437600978,"Naive up to 3 lags"
"82",11.3582101419373,0.149003980790331,"Naive up to 3 lags"
"83",11.4054125022531,0.144184614507118,"Naive up to 3 lags"
"84",11.4291083169891,0.139173109289798,"Naive up to 3 lags"
"85",11.4995898442494,0.137273154969123,"Naive up to 3 lags"
"86",11.4028042035602,0.140660091588331,"Naive up to 3 lags"
"87",11.3445745915267,0.150110752134787,"Naive up to 3 lags"
"88",11.3955729503423,0.1402821782138,"Naive up to 3 lags"
"89",11.4031891357139,0.144419898429419,"Naive up to 3 lags"
"90",11.4071672971232,0.14168729120571,"Naive up to 3 lags"
